month,year,,average_temp
1,1950,ALABAMA,53.8
1,1950,ARIZONA,39.6
1,1950,ARKANSAS,45.6
1,1950,CALIFORNIA,39.4
1,1950,COLORADO,25.2
1,1950,CONNECTICUT,32.5
1,1950,DELAWARE,42
1,1950,FLORIDA,64.4
1,1950,GEORGIA,53.5
1,1950,IDAHO,20.4
1,1950,ILLINOIS,33.1
1,1950,INDIANA,35.2
1,1950,IOWA,21
1,1950,KANSAS,31
1,1950,KENTUCKY,41.8
1,1950,LOUISIANA,57.6
1,1950,MAINE,20.6
1,1950,MARYLAND,41.1
1,1950,MASSACHUSETTS,31.6
1,1950,MICHIGAN,23.8
1,1950,MINNESOTA,5.2
1,1950,MISSISSIPPI,54
1,1950,MISSOURI,35.3
1,1950,MONTANA,6.8
1,1950,NEBRASKA,21.2
1,1950,NEVADA,28.2
1,1950,NEW HAMPSHIRE,24.7
1,1950,NEW JERSEY,37.8
1,1950,NEW MEXICO,34.8
1,1950,NEW YORK,28.4
1,1950,NORTH CAROLINA,47.7
1,1950,NORTH DAKOTA,-2.4
1,1950,OHIO,35.6
1,1950,OKLAHOMA,39.4
1,1950,OREGON,27
1,1950,PENNSYLVANIA,33.7
1,1950,RHODE ISLAND,34.8
1,1950,SOUTH CAROLINA,51.4
1,1950,SOUTH DAKOTA,9.8
1,1950,TENNESSEE,45.3
1,1950,TEXAS,50
1,1950,UTAH,24
1,1950,VERMONT,24
1,1950,VIRGINIA,43
1,1950,WASHINGTON,21.7
1,1950,WEST VIRGINIA,39.4
1,1950,WISCONSIN,15.4
1,1950,WYOMING,17.1
2,1950,ALABAMA,56
2,1950,ARIZONA,43.5
2,1950,ARKANSAS,46.5
2,1950,CALIFORNIA,41.9
2,1950,COLORADO,27.6
2,1950,CONNECTICUT,29.2
2,1950,DELAWARE,40.2
2,1950,FLORIDA,64.7
2,1950,GEORGIA,55.4
2,1950,IDAHO,21.8
2,1950,ILLINOIS,30.8
2,1950,INDIANA,33
2,1950,IOWA,18.9
2,1950,KANSAS,33.1
2,1950,KENTUCKY,41.4
2,1950,LOUISIANA,59.2
2,1950,MAINE,14.8
2,1950,MARYLAND,39.6
2,1950,MASSACHUSETTS,27.9
2,1950,MICHIGAN,20.6
2,1950,MINNESOTA,4.2
2,1950,MISSISSIPPI,55.6
2,1950,MISSOURI,34.7
2,1950,MONTANA,10.8
2,1950,NEBRASKA,22.3
2,1950,NEVADA,31.9
2,1950,NEW HAMPSHIRE,20.2
2,1950,NEW JERSEY,35
2,1950,NEW MEXICO,38.8
2,1950,NEW YORK,24.5
2,1950,NORTH CAROLINA,48.5
2,1950,NORTH DAKOTA,-2
2,1950,OHIO,34.1
2,1950,OKLAHOMA,41.7
2,1950,OREGON,27.6
2,1950,PENNSYLVANIA,31.6
2,1950,RHODE ISLAND,31
2,1950,SOUTH CAROLINA,53.2
2,1950,SOUTH DAKOTA,10.4
2,1950,TENNESSEE,46
2,1950,TEXAS,52.3
2,1950,UTAH,26.9
2,1950,VERMONT,19.2
2,1950,VIRGINIA,42.7
2,1950,WASHINGTON,21.4
2,1950,WEST VIRGINIA,39
2,1950,WISCONSIN,13.4
2,1950,WYOMING,20
3,1950,ALABAMA,52.7
3,1950,ARIZONA,49.1
3,1950,ARKANSAS,47.4
3,1950,CALIFORNIA,47.3
3,1950,COLORADO,32
3,1950,CONNECTICUT,28
3,1950,DELAWARE,37.4
3,1950,FLORIDA,63.2
3,1950,GEORGIA,52.6
3,1950,IDAHO,28.8
3,1950,ILLINOIS,32.7
3,1950,INDIANA,32.9
3,1950,IOWA,25.4
3,1950,KANSAS,38.6
3,1950,KENTUCKY,40.5
3,1950,LOUISIANA,57
3,1950,MAINE,16.7
3,1950,MARYLAND,37
3,1950,MASSACHUSETTS,26.6
3,1950,MICHIGAN,21.6
3,1950,MINNESOTA,14.7
3,1950,MISSISSIPPI,53.2
3,1950,MISSOURI,37.6
3,1950,MONTANA,24.2
3,1950,NEBRASKA,29.7
3,1950,NEVADA,37.8
3,1950,NEW HAMPSHIRE,19.7
3,1950,NEW JERSEY,32.8
3,1950,NEW MEXICO,42.6
3,1950,NEW YORK,22.2
3,1950,NORTH CAROLINA,46.2
3,1950,NORTH DAKOTA,13.1
3,1950,OHIO,32.6
3,1950,OKLAHOMA,46.3
3,1950,OREGON,34.4
3,1950,PENNSYLVANIA,29.1
3,1950,RHODE ISLAND,29.4
3,1950,SOUTH CAROLINA,50.8
3,1950,SOUTH DAKOTA,20.9
3,1950,TENNESSEE,44.6
3,1950,TEXAS,54.4
3,1950,UTAH,34
3,1950,VERMONT,17.8
3,1950,VIRGINIA,40.2
3,1950,WASHINGTON,33
3,1950,WEST VIRGINIA,36.2
3,1950,WISCONSIN,18.8
3,1950,WYOMING,26.6
4,1950,ALABAMA,55.7
4,1950,ARIZONA,55.4
4,1950,ARKANSAS,53.2
4,1950,CALIFORNIA,52.4
4,1950,COLORADO,38.1
4,1950,CONNECTICUT,37.2
4,1950,DELAWARE,44.3
4,1950,FLORIDA,64.4
4,1950,GEORGIA,55.8
4,1950,IDAHO,35
4,1950,ILLINOIS,40.9
4,1950,INDIANA,40.4
4,1950,IOWA,35.6
4,1950,KANSAS,45.4
4,1950,KENTUCKY,46.6
4,1950,LOUISIANA,60
4,1950,MAINE,29.4
4,1950,MARYLAND,43.8
4,1950,MASSACHUSETTS,36.2
4,1950,MICHIGAN,29.5
4,1950,MINNESOTA,25.5
4,1950,MISSISSIPPI,56.6
4,1950,MISSOURI,45
4,1950,MONTANA,30.6
4,1950,NEBRASKA,37
4,1950,NEVADA,43.4
4,1950,NEW HAMPSHIRE,31
4,1950,NEW JERSEY,40.8
4,1950,NEW MEXICO,48.8
4,1950,NEW YORK,31.8
4,1950,NORTH CAROLINA,51.5
4,1950,NORTH DAKOTA,25.2
4,1950,OHIO,39.2
4,1950,OKLAHOMA,53
4,1950,OREGON,39.2
4,1950,PENNSYLVANIA,36.6
4,1950,RHODE ISLAND,37.9
4,1950,SOUTH CAROLINA,55.4
4,1950,SOUTH DAKOTA,30.1
4,1950,TENNESSEE,49.6
4,1950,TEXAS,60
4,1950,UTAH,41.6
4,1950,VERMONT,29.1
4,1950,VIRGINIA,46.6
4,1950,WASHINGTON,39.1
4,1950,WEST VIRGINIA,42.4
4,1950,WISCONSIN,28.4
4,1950,WYOMING,32
5,1950,ALABAMA,66.4
5,1950,ARIZONA,61.8
5,1950,ARKANSAS,63.8
5,1950,CALIFORNIA,58.6
5,1950,COLORADO,46.2
5,1950,CONNECTICUT,49.2
5,1950,DELAWARE,54.7
5,1950,FLORIDA,70.8
5,1950,GEORGIA,66.4
5,1950,IDAHO,42.6
5,1950,ILLINOIS,54.6
5,1950,INDIANA,54
5,1950,IOWA,50.2
5,1950,KANSAS,57.1
5,1950,KENTUCKY,58.6
5,1950,LOUISIANA,69.4
5,1950,MAINE,44.5
5,1950,MARYLAND,55
5,1950,MASSACHUSETTS,48.6
5,1950,MICHIGAN,44.2
5,1950,MINNESOTA,41.4
5,1950,MISSISSIPPI,67
5,1950,MISSOURI,57.7
5,1950,MONTANA,41.7
5,1950,NEBRASKA,49.1
5,1950,NEVADA,50.8
5,1950,NEW HAMPSHIRE,45.8
5,1950,NEW JERSEY,52.1
5,1950,NEW MEXICO,56.6
5,1950,NEW YORK,46.8
5,1950,NORTH CAROLINA,62
5,1950,NORTH DAKOTA,40.5
5,1950,OHIO,52.7
5,1950,OKLAHOMA,63.5
5,1950,OREGON,45.6
5,1950,PENNSYLVANIA,50
5,1950,RHODE ISLAND,48.7
5,1950,SOUTH CAROLINA,66.2
5,1950,SOUTH DAKOTA,44.4
5,1950,TENNESSEE,61.4
5,1950,TEXAS,68.9
5,1950,UTAH,49
5,1950,VERMONT,45
5,1950,VIRGINIA,57.6
5,1950,WASHINGTON,45.8
5,1950,WEST VIRGINIA,54.7
5,1950,WISCONSIN,43.9
5,1950,WYOMING,40.2
6,1950,ALABAMA,75.6
6,1950,ARIZONA,68.5
6,1950,ARKANSAS,73
6,1950,CALIFORNIA,64
6,1950,COLORADO,55.4
6,1950,CONNECTICUT,60.1
6,1950,DELAWARE,65
6,1950,FLORIDA,78.8
6,1950,GEORGIA,75.9
6,1950,IDAHO,50.6
6,1950,ILLINOIS,66.8
6,1950,INDIANA,65.9
6,1950,IOWA,63.4
6,1950,KANSAS,68.9
6,1950,KENTUCKY,68.8
6,1950,LOUISIANA,77.3
6,1950,MAINE,56.1
6,1950,MARYLAND,65.6
6,1950,MASSACHUSETTS,59.6
6,1950,MICHIGAN,58.2
6,1950,MINNESOTA,57.1
6,1950,MISSISSIPPI,76
6,1950,MISSOURI,68.6
6,1950,MONTANA,51.2
6,1950,NEBRASKA,61.7
6,1950,NEVADA,58.1
6,1950,NEW HAMPSHIRE,57.8
6,1950,NEW JERSEY,62.7
6,1950,NEW MEXICO,64.9
6,1950,NEW YORK,58.8
6,1950,NORTH CAROLINA,70.9
6,1950,NORTH DAKOTA,55.5
6,1950,OHIO,64.3
6,1950,OKLAHOMA,72.8
6,1950,OREGON,52.8
6,1950,PENNSYLVANIA,61.2
