Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,35,,425,,35,,114,,,-,561,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,1,2,,49,,2,,3,,,-,10,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,1,6,,51,,6,,15,,,-,23,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,1,,-,12,,,-,2,,,-,11,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,1,12,,117,,12,,28,,,-,445,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,1,,-,68,,,-,13,,,-,87,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,1,4,,69,,4,,20,,,-,27,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,1,,-,20,,,-,9,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,1,3,,61,,3,,3,,,-,49,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,1,3,,48,,3,,9,,,-,10,,,-,,-,,MOUNTAIN
PACIFIC,2019,1,5,,45,,5,,14,,,-,26,,,-,,-,,PACIFIC
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,1,35,,425,,35,,114,,,-,561,,,-,,-,,TOTAL
NEVADA,2019,1,,-,4,,,-,,-,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
RHODE ISLAND,2019,1,,-,37,,,-,,-,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH DAKOTA,2019,1,,-,15,,,-,,-,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
DISTRICT OF COLUMBIA,2019,1,,-,4,,,-,1,,,-,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GEORGIA,2019,1,3,,23,,3,,3,,,-,8,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2019,1,,-,10,,,-,6,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2019,1,2,,12,,2,,1,,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ARKANSAS,2019,1,,-,5,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2019,1,,-,20,,,-,6,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2019,1,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2019,1,,-,9,,,-,3,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW MEXICO,2019,1,,-,10,,,-,,-,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2019,1,,-,8,,,-,1,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2019,1,,-,16,,,-,3,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
WASHINGTON,2019,1,1,,35,,1,,1,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2019,1,,-,6,,,-,2,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OKLAHOMA,2019,1,3,,10,,3,,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2019,1,1,,8,,1,,1,,,-,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
FLORIDA,2019,1,,-,27,,,-,4,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NORTH DAKOTA,2019,1,,-,4,,,-,1,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
