Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column,Counties,States
US RESIDENTS,2020,1,33,,450,,33,,151,,4,,536,,4,,1,,,US RESIDENTS,20200101,,,
NEW ENGLAND,2020,1,3,,26,,3,,16,,,-,91,,,-,,-,,NEW ENGLAND,20200102,,,
CONNECTICUT,2020,1,,-,6,,,-,,-,,-,26,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155),1043,24
MAINE,2020,1,,-,12,,,-,,-,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2020,1,3,,15,,3,,9,,,-,60,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2020,1,,-,7,,,-,7,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429),2405,26
RHODE ISLAND,2020,1,,-,7,,,-,,-,,-,5,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574),2703,27
VERMONT,2020,1,,-,3,,,-,,-,,-,5,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2020,1,9,,70,,9,,23,,,-,151,,,-,,-,,MIDDLE ATLANTIC,20200109,,,
NEW JERSEY,2020,1,1,,18,,1,,5,,,-,36,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253),2447,46
NEW YORK,2020,1,1,,27,,1,,,-,,-,85,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2020,1,2,,19,,2,,12,,,-,44,,,-,,-,,NEW YORK CITY,20200112,,,
PENNSYLVANIA,2020,1,5,,21,,5,,6,,,N,,NC,,N,,N,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2020,1,13,,110,,13,,35,,4,,121,,4,,,-,,EAST NORTH CENTRAL,20200114,,,
ILLINOIS,2020,1,,-,24,,,-,8,,,-,51,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144),1721,34
INDIANA,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001),1904,35
MICHIGAN,2020,1,,-,20,,,-,9,,,-,69,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798),1262,50
