Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2021†","Cryptosporidiosis, Cum 2021†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2021†","Cyclosporiasis, Cum 2021†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode,Counties,States
US RESIDENTS,2021,1,14,,200,,14,,142,,,-,248,,,-,5,,,US RESIDENTS,20210101,,,
NEW ENGLAND,2021,1,1,,20,,1,,7,,,-,5,,,-,,-,,NEW ENGLAND,20210102,,,
CONNECTICUT,2021,1,,-,4,,,-,1,,,-,2,,,-,,-,CONNECTICUT,,20210103,POINT (-72.738288 41.575155),1043,24
MAINE,2021,1,,-,4,,,-,,-,,-,0,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,1,,-,6,,,-,5,,,-,4,,,-,,-,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,1,,-,2,,,-,1,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,1,,-,3,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,1,1,,11,,1,,,-,,-,0,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,1,3,,46,,3,,19,,,-,34,,,-,1,,,MIDDLE ATLANTIC,20210109,,,
NEW JERSEY,2021,1,,-,6,,,-,6,,,-,19,,,-,1,,NEW JERSEY,,20210110,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,1,1,,31,,1,,,-,,-,10,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,1,1,,13,,1,,5,,,-,17,,,-,,-,,NEW YORK CITY,20210112,,,
PENNSYLVANIA,2021,1,1,,13,,1,,8,,,N,,NC,,N,,N,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,1,,-,47,,,-,29,,,-,111,,,-,4,,,EAST NORTH CENTRAL,20210114,,,
ILLINOIS,2021,1,,-,11,,,-,7,,,-,97,,,-,,-,ILLINOIS,,20210115,POINT (-89.148632 40.124144),1721,34
