Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2016, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,,-,13,,70,,,-,2,,1,,39,,194,,1,,6,,,-,2,,9,,,-,1,,,
NEW ENGLAND,2016,1,,-,1,,6,,,-,,-,1,,15,,98,,1,,3,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2016,1,,-,2,,9,,,-,1,,,-,15,,61,,,-,1,,,-,0,,2,,,-,,-,,
NEW YORK CITY,2016,1,,-,0,,2,,,-,,-,,-,1,,6,,,-,,-,,-,0,,0,,,-,,-,NEW YORK CITY,
E.N. CENTRAL,2016,1,,-,1,,6,,,-,,-,,-,5,,41,,,-,1,,,-,1,,5,,,-,1,,,
W.N. CENTRAL,2016,1,,-,2,,20,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
S. ATLANTIC,2016,1,,-,3,,23,,,-,1,,,-,1,,7,,,-,1,,,-,0,,3,,,-,,-,,
DIST. OF COL.,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,1,,-,1,,14,,,-,,-,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,,
W.S. CENTRAL,2016,1,,-,2,,17,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
AMER. SAMOA,2016,1,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,AMER. SAMOA,
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW YORK,2016,1,,-,1,,9,,,-,,-,,-,11,,50,,,-,,-,,-,0,,2,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
INDIANA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"INDIANA
(39.76845, -86.156212)",
