Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013, flag",Location 1,Location 1 (city),Location 1 (state),Location 2
UNITED STATES,2014,1,,-,12,,90,,,-,,-,1,,25,,86,,1,,2,,,-,2,,22,,,-,,-,,,,
NEW ENGLAND,2014,1,,-,0,,8,,,-,,-,,-,4,,18,,,-,,-,,-,0,,1,,,-,,-,,,,
MID. ATLANTIC,2014,1,,-,2,,10,,,-,,-,1,,7,,31,,1,,1,,,-,0,,3,,,-,,-,,,,
E.N. CENTRAL,2014,1,,-,1,,8,,,-,,-,,-,9,,44,,,-,1,,,-,1,,17,,,-,,-,,,,
W.N. CENTRAL,2014,1,,-,2,,44,,,-,,-,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,,,
S. ATLANTIC,2014,1,,-,1,,22,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,,,
E.S. CENTRAL,2014,1,,-,1,,14,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,,,
W.S. CENTRAL,2014,1,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,,
PACIFIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,,,
WEST VIRGINIA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA,
MICHIGAN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,POINT (-84.71438724399968 44.66131575600048),,MICHIGAN,
NEW YORK,2014,1,,-,1,,9,,,-,,-,1,,7,,28,,1,,1,,,-,0,,3,,,-,,-,POINT (-75.54396639699968 42.82700023900048),,NEW YORK,
CONNECTICUT,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266394200048),,CONNECTICUT,
NEW MEXICO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-106.24057768899968 34.52088247800049),,NEW MEXICO,
COLORADO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-106.13360888799969 38.84384047000049),,COLORADO,
MARYLAND,2014,1,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,MARYLAND,
CALIFORNIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,CALIFORNIA,
NEW HAMPSHIRE,2014,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,NEW HAMPSHIRE,
PUERTO RICO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-98.34556876399967 26.649497232000442),,PUERTO RICO,
ILLINOIS,2014,1,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,ILLINOIS,
TENNESSEE,2014,1,,-,1,,9,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,POINT (-85.77448642199965 35.680943063000484),,TENNESSEE,
OKLAHOMA,2014,1,,-,0,,34,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA,
WISCONSIN,2014,1,,-,0,,6,,,-,,-,,-,9,,43,,,-,1,,,-,0,,5,,,-,,-,POINT (-89.81636715299965 44.3931903350005),,WISCONSIN,
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,MINNESOTA,
GEORGIA,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968004200045),,GEORGIA,
PENNSYLVANIA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373106100047),,PENNSYLVANIA,
KENTUCKY,2014,1,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,KENTUCKY,
ARKANSAS,2014,1,,-,2,,17,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.748651751000466),,ARKANSAS,
OREGON,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.567446178000466),,OREGON,
DELAWARE,2014,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,DELAWARE,
GUAM,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-120.52155783099971 34.91997872200045),,GUAM,
ARIZONA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,ARIZONA,
VERMONT,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,VERMONT,
NEW YORK CITY,2014,1,,-,0,,5,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY,
DIST. OF COL.,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-99.11415045099966 39.52368635500045),,DIST. OF COL.,
NORTH CAROLINA,2014,1,,-,0,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622388600048),,NORTH CAROLINA,
MISSISSIPPI,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-89.53802764499966 32.74551123200047),,MISSISSIPPI,
VIRGINIA,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,VIRGINIA,
UTAH,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,UTAH,
LOUISIANA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,LOUISIANA,
WYOMING,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,WYOMING,
IOWA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-93.81648936699969 42.469404401000475),,IOWA,
IDAHO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-114.3637261449997 43.682630058000484),,IDAHO,
NEW JERSEY,2014,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,NEW JERSEY,
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA,
MONTANA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-109.42441687999968 47.066526051000494),,MONTANA,
SOUTH CAROLINA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,SOUTH CAROLINA,
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,VIRGIN ISL.,
NORTH DAKOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,POINT (-100.11842599699969 47.47531738700047),,NORTH DAKOTA,
NEBRASKA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA,
