 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,59,,263,,425,,59,,191,,2673,,8355,,9460,,2673,,7884,,35,,80,,161,,35,,134,,,
NEW ENGLAND,2017,1,2,,21,,37,,2,,19,,60,,172,,262,,60,,148,,,-,5,,16,,,-,7,,,
MID. ATLANTIC,2017,28,46,,50,,98,,1176,,1416,,892,,1117,,1359,,31440,,25557,,19,,14,,26,,406,,411,,,
TEXAS,2017,28,,N,0,,0,,,N,,N,720,,862,,1223,,24157,,22256,,4,,6,,38,,187,,159,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2017,28,,-,2,,12,,9,,92,,205,,228,,517,,6581,,5196,,,-,1,,4,,35,,40,,"LOUISIANA
(31.2931, -92.463284)",
MICHIGAN,2017,28,2,,10,,26,,213,,246,,44,,246,,337,,5581,,6051,,,-,3,,8,,101,,105,,"MICHIGAN
(44.66399, -84.711206)",
AMER. SAMOA,2017,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,28,14,,48,,75,,1087,,1398,,624,,1893,,3743,,46128,,52324,,4,,20,,39,,626,,683,,,
MID. ATLANTIC,2017,1,23,,49,,83,,23,,32,,454,,967,,1203,,454,,1125,,3,,13,,23,,3,,14,,,
NEW YORK CITY,2017,28,20,,18,,34,,480,,460,,340,,422,,513,,12137,,9314,,5,,2,,6,,60,,65,,,
NEW JERSEY,2017,28,,-,7,,17,,130,,236,,80,,168,,205,,4455,,4162,,,-,3,,7,,66,,70,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK CITY,2017,1,12,,17,,25,,12,,13,,154,,355,,503,,154,,383,,1,,2,,7,,1,,2,,,
MISSOURI,2017,28,2,,5,,16,,115,,169,,196,,238,,298,,6670,,5802,,1,,2,,9,,80,,96,,"MISSOURI
(38.636168, -92.566292)",
E.N. CENTRAL,2017,1,3,,26,,147,,3,,19,,247,,1180,,1358,,247,,1342,,8,,13,,26,,8,,26,,,
E.N. CENTRAL,2017,28,12,,27,,150,,612,,751,,270,,1380,,1603,,32661,,35286,,5,,15,,36,,428,,462,,,
NEW YORK,2017,28,16,,15,,42,,355,,444,,251,,196,,531,,5260,,4635,,11,,4,,15,,143,,126,,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2017,28,1,,3,,13,,70,,86,,11,,14,,39,,463,,373,,1,,0,,3,,16,,19,,"IDAHO
(43.680635, -114.364237)",
KENTUCKY,2017,28,,N,0,,0,,,N,,N,187,,130,,275,,3615,,2338,,,-,2,,6,,46,,25,,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,28,,-,20,,34,,518,,612,,,-,588,,903,,15529,,14334,,3,,4,,11,,156,,214,,"FLORIDA
(28.915325, -81.922409)",
W.N. CENTRAL,2017,1,1,,16,,41,,1,,17,,219,,509,,629,,219,,555,,3,,5,,12,,3,,12,,,
KANSAS,2017,28,,-,2,,8,,45,,55,,23,,77,,103,,2234,,1580,,,-,1,,5,,30,,38,,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2017,28,146,,261,,982,,6260,,7369,,4745,,9391,,12294,,244962,,234624,,45,,93,,215,,2670,,2780,,,
ILLINOIS,2017,28,,N,0,,0,,,N,,N,25,,357,,515,,6652,,10715,,,-,4,,12,,105,,117,,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2017,28,,-,2,,8,,47,,49,,,-,12,,26,,174,,515,,,-,0,,3,,17,,10,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,28,,-,0,,0,,,-,,-,,-,389,,440,,6450,,10042,,,-,3,,10,,91,,110,,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2017,28,,N,0,,0,,,N,,N,,-,2,,10,,64,,74,,,-,0,,2,,8,,7,,"VERMONT
(43.622479, -72.51927)",
MASSACHUSETTS,2017,28,,-,10,,21,,217,,292,,,-,119,,159,,3329,,2331,,,-,2,,10,,72,,86,,"MASSACHUSETTS
(42.268546, -72.085064)",
S. ATLANTIC,2017,1,10,,50,,77,,10,,44,,373,,1660,,2421,,373,,1390,,10,,19,,89,,10,,33,,,
ALASKA,2017,28,,-,2,,5,,28,,30,,,-,33,,54,,819,,676,,,-,0,,1,,7,,12,,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,28,1,,0,,3,,7,,9,,25,,34,,59,,896,,802,,,-,0,,3,,13,,12,,"DELAWARE
(39.008676, -75.574561)",
W.S. CENTRAL,2017,28,2,,5,,21,,74,,155,,980,,1342,,1714,,36328,,34051,,6,,10,,48,,318,,275,,,
WISCONSIN,2017,28,1,,8,,106,,165,,225,,103,,133,,158,,3462,,3356,,,-,2,,6,,48,,80,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2017,28,,-,0,,3,,,-,22,,,-,6,,13,,151,,131,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,28,,-,0,,3,,3,,15,,4,,12,,24,,269,,409,,,-,0,,2,,3,,5,,"PUERTO RICO
(18.215692, -66.414655)",
