 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2018","Giardiasis, Cum 2018, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2018","Gonorrhea, Cum 2018, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), all serotypes, Cum 2018","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2018, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017, flag",Location 1,Location 2
UNITED STATES,2018,1,43,,212,,316,,43,,163,,1520,,10186,,11369,,1520,,8203,,34,,97,,136,,34,,128,,,
NEW ENGLAND,2018,1,1,,18,,40,,1,,14,,,-,256,,353,,,-,131,,2,,4,,17,,2,,11,,,
MID. ATLANTIC,2018,1,20,,47,,74,,20,,29,,260,,1161,,1350,,260,,1065,,2,,15,,30,,2,,10,,,
NEW YORK CITY,2018,1,14,,17,,29,,14,,12,,,-,457,,534,,,-,369,,,-,2,,6,,,-,1,,,
E.N. CENTRAL,2018,1,7,,28,,84,,7,,21,,368,,1388,,1639,,368,,1463,,8,,16,,30,,8,,27,,,
W.N. CENTRAL,2018,1,3,,15,,31,,3,,19,,214,,606,,780,,214,,517,,4,,5,,15,,4,,10,,,
S. ATLANTIC,2018,1,4,,37,,68,,4,,35,,175,,2151,,2908,,175,,1673,,12,,21,,39,,12,,37,,,
E.S. CENTRAL,2018,1,,-,3,,10,,,-,4,,76,,706,,973,,76,,450,,1,,7,,18,,1,,12,,,
W.S. CENTRAL,2018,1,1,,4,,14,,1,,,-,3,,1347,,1648,,3,,971,,,-,10,,21,,,-,4,,,
MOUNTAIN,2018,1,3,,22,,43,,3,,26,,221,,651,,893,,221,,378,,3,,8,,21,,3,,15,,,
PACIFIC,2018,1,4,,31,,72,,4,,15,,203,,1728,,2057,,203,,1555,,2,,4,,10,,2,,2,,,
AMER. SAMOA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
RHODE ISLAND,2018,1,,-,1,,3,,,-,,-,,-,16,,85,,,-,,-,,-,0,,7,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2018,1,,N,0,,0,,,N,,N,,-,3,,13,,,-,1,,2,,0,,2,,2,,1,,"VERMONT
(43.622479, -72.51927)",
IDAHO,2018,1,1,,3,,9,,1,,4,,,-,18,,39,,,-,13,,1,,0,,2,,1,,,-,"IDAHO
(43.680635, -114.364237)",
PUERTO RICO,2018,1,,-,0,,1,,,-,,-,,-,10,,25,,,-,5,,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2018,1,1,,8,,46,,1,,7,,82,,150,,210,,82,,139,,,-,1,,5,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2018,1,,-,3,,10,,,-,4,,,-,200,,309,,,-,158,,,-,1,,5,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2018,1,,-,2,,6,,,-,1,,,-,47,,83,,,-,33,,,-,1,,4,,,-,4,,"NEBRASKA
(41.640503, -99.367122)",
VIRGIN ISL.,2018,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DELAWARE,2018,1,,-,0,,3,,,-,,-,,-,34,,54,,,-,29,,1,,0,,3,,1,,3,,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2018,1,2,,3,,6,,2,,4,,,-,233,,441,,,-,90,,1,,2,,8,,1,,4,,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2018,1,,-,1,,6,,,-,3,,9,,84,,148,,9,,21,,,-,1,,4,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
TENNESSEE,2018,1,,N,0,,0,,,N,,N,44,,233,,343,,44,,151,,,-,3,,8,,,-,5,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2018,1,,-,3,,11,,,-,3,,24,,47,,122,,24,,53,,,-,1,,4,,,-,3,,"UTAH
(39.359772, -111.584173)",
OREGON,2018,1,4,,6,,16,,4,,3,,103,,95,,148,,103,,87,,2,,2,,7,,2,,2,,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2018,1,4,,10,,22,,4,,7,,153,,304,,535,,153,,412,,2,,5,,14,,2,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2018,1,,-,1,,7,,,-,,-,,-,41,,60,,,-,7,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KANSAS,2018,1,,-,2,,5,,,-,4,,28,,87,,115,,28,,67,,,-,1,,5,,,-,3,,"KANSAS
(38.345528, -98.201847)",
NEVADA,2018,1,,-,1,,3,,,-,2,,,-,90,,117,,,-,64,,,-,1,,3,,,-,1,,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2018,1,,-,7,,51,,,-,,-,100,,141,,230,,100,,109,,,-,0,,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2018,1,,-,0,,3,,,-,,-,,-,7,,14,,,-,8,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2018,1,,-,5,,15,,,-,7,,,-,69,,98,,,-,62,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
OHIO,2018,1,4,,6,,27,,4,,2,,191,,440,,527,,191,,442,,7,,5,,12,,7,,7,,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2018,1,,-,2,,5,,,-,2,,,-,11,,20,,,-,11,,,-,0,,2,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2018,1,,N,0,,0,,,N,,N,,-,142,,210,,,-,116,,,-,2,,8,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MONTANA,2018,1,,-,2,,7,,,-,,-,,-,12,,26,,,-,6,,1,,0,,3,,1,,,-,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2018,1,,-,4,,15,,,-,8,,50,,181,,252,,50,,206,,,-,3,,7,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2018,1,,-,0,,8,,,-,,-,3,,207,,511,,3,,60,,,-,1,,4,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
GEORGIA,2018,1,,-,8,,19,,,-,17,,,-,416,,504,,,-,408,,,-,4,,11,,,-,5,,"GEORGIA
(32.836038, -83.631709)",
ILLINOIS,2018,1,,N,0,,0,,,N,,N,,-,292,,461,,,-,412,,,-,4,,11,,,-,5,,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2018,1,1,,4,,11,,1,,1,,,-,243,,352,,,-,282,,,-,2,,8,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2018,1,,-,0,,4,,,-,,-,,-,17,,27,,,-,8,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MINNESOTA,2018,1,,-,0,,0,,,-,,-,,-,122,,185,,,-,110,,,-,0,,3,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MICHIGAN,2018,1,2,,10,,31,,2,,11,,19,,274,,352,,19,,270,,1,,3,,9,,1,,7,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH CAROLINA,2018,1,,-,3,,9,,,-,1,,,-,224,,955,,,-,223,,,-,2,,10,,,-,5,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2018,1,,-,9,,21,,,-,8,,,-,147,,204,,,-,103,,,-,2,,10,,,-,7,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2018,1,3,,4,,13,,3,,4,,186,,252,,344,,186,,215,,4,,2,,9,,4,,3,,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2018,1,,-,1,,5,,,-,2,,,-,25,,40,,,-,24,,,-,1,,4,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH DAKOTA,2018,1,,-,2,,4,,,-,3,,,-,21,,36,,,-,22,,,-,0,,3,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW YORK,2018,1,2,,15,,29,,2,,2,,57,,203,,267,,57,,78,,,-,4,,15,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
COLORADO,2018,1,,-,10,,19,,,-,10,,188,,162,,259,,188,,123,,,-,2,,5,,,-,5,,"COLORADO
(38.841772, -106.132562)",
DIST. OF COL.,2018,1,,-,0,,2,,,-,,-,,-,83,,207,,,-,47,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
HAWAII,2018,1,,-,1,,5,,,-,,-,,-,26,,47,,,-,24,,,-,0,,3,,,-,,-,"HAWAII
(21.30992, -157.858158)",
FLORIDA,2018,1,,-,18,,32,,,-,9,,137,,622,,737,,137,,226,,5,,5,,12,,5,,7,,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2018,1,,-,0,,0,,,-,,-,,-,413,,484,,,-,410,,,-,3,,8,,,-,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2018,1,1,,2,,7,,1,,,-,,-,81,,288,,,-,,-,,-,1,,8,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
MISSISSIPPI,2018,1,,N,0,,0,,,N,,N,32,,165,,336,,32,,11,,1,,1,,4,,1,,4,,"MISSISSIPPI
(32.738663, -89.537312)",
C.N.M.I.,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2018,1,3,,3,,8,,3,,5,,38,,193,,346,,38,,24,,6,,2,,11,,6,,5,,"MARYLAND
(39.290443, -76.612333)",
GUAM,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2018,1,1,,2,,7,,1,,1,,,-,5,,32,,,-,9,,,-,0,,2,,,-,1,,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2018,1,,-,13,,23,,,-,12,,,-,1458,,1700,,,-,1328,,,-,1,,4,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2018,1,,N,0,,0,,,N,,N,,-,884,,1212,,,-,795,,,-,6,,17,,,-,1,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2018,1,,-,4,,9,,,-,3,,,-,73,,115,,,-,7,,,-,1,,4,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2018,1,,N,0,,0,,,N,,N,,-,145,,230,,,-,130,,,-,1,,6,,,-,3,,"KENTUCKY
(37.64591, -84.774043)",
INDIANA,2018,1,,-,3,,8,,,-,1,,76,,221,,302,,76,,200,,,-,2,,8,,,-,3,,"INDIANA
(39.76845, -86.156212)",
ALASKA,2018,2,,-,1,,7,,,-,1,,,-,41,,60,,,-,40,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2018,2,,-,2,,7,,1,,1,,,-,4,,32,,,-,19,,1,,0,,2,,2,,2,,"MAINE
(45.252223, -68.986647)",
GEORGIA,2018,2,,-,7,,19,,,-,23,,142,,416,,504,,274,,900,,1,,4,,11,,5,,15,,"GEORGIA
(32.836038, -83.631709)",
W.N. CENTRAL,2018,2,2,,14,,31,,10,,37,,314,,606,,789,,710,,1146,,,-,5,,15,,4,,16,,,
MARYLAND,2018,2,2,,3,,8,,5,,6,,59,,193,,348,,115,,62,,2,,2,,11,,8,,6,,"MARYLAND
(39.290443, -76.612333)",
