Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1 (city),Location 1,Location 2,Location 1 (state)
UNITED STATES,2014,1,10,,332,,2155,,10,,192,,7,,24,,49,,7,,19,,9,,9,,21,,9,,14,,,,,
NEW ENGLAND,2014,1,,-,111,,878,,,-,56,,1,,2,,8,,1,,3,,,-,0,,3,,,-,1,,,,,
MID. ATLANTIC,2014,1,7,,170,,1004,,7,,87,,,-,8,,21,,,-,2,,,-,1,,7,,,-,2,,,,,
E.N. CENTRAL,2014,1,1,,16,,216,,1,,8,,1,,2,,8,,1,,2,,,-,0,,4,,,-,2,,,,,
W.N. CENTRAL,2014,1,,-,3,,31,,,-,,-,3,,0,,3,,3,,2,,,-,0,,3,,,-,1,,,,,
S. ATLANTIC,2014,1,2,,35,,116,,2,,37,,2,,5,,16,,2,,5,,5,,1,,6,,5,,1,,,,,
E.S. CENTRAL,2014,1,,-,1,,9,,,-,1,,,-,0,,4,,,-,,-,1,,0,,2,,1,,1,,,,,
W.S. CENTRAL,2014,1,,-,1,,5,,,-,,-,,-,1,,7,,,-,1,,,-,1,,3,,,-,,-,,,,
MOUNTAIN,2014,1,,-,2,,9,,,-,,-,,-,1,,6,,,-,2,,,-,0,,4,,,-,,-,,,,
PACIFIC,2014,1,,-,2,,8,,,-,3,,,-,2,,8,,,-,2,,3,,2,,8,,3,,6,,,,,
MISSOURI,2014,1,,-,0,,3,,,-,,-,1,,0,,1,,1,,1,,,-,0,,2,,,-,,-,,POINT (-92.56629737199967 38.63579372300046),,MISSOURI
TEXAS,2014,1,,-,1,,5,,,-,,-,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,,POINT (-99.4267664729997 31.827243635000457),,TEXAS
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-120.52155783099971 34.91997872200045),,GUAM
LOUISIANA,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,POINT (-92.44567554599968 31.312662564000448),,LOUISIANA
WEST VIRGINIA,2014,1,,-,1,,19,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA
MISSISSIPPI,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,POINT (-89.53802764499966 32.74551123200047),,MISSISSIPPI
ALABAMA,2014,1,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-86.63185803899967 32.84057327200048),,ALABAMA
ILLINOIS,2014,1,,-,2,,30,,,-,,-,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,,POINT (-88.99770813999965 40.48501278700047),,ILLINOIS
VIRGIN ISL.,2014,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,VIRGIN ISL.
WYOMING,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-108.10982744299969 43.23554147100049),,WYOMING
AMER. SAMOA,2014,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,AMER. SAMOA
VIRGINIA,2014,1,,-,2,,61,,,-,1,,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,POINT (-78.45788924199968 37.54268075100049),,VIRGINIA
CONNECTICUT,2014,1,,-,23,,242,,,-,24,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-72.64983753699966 41.56266394200048),,CONNECTICUT
UTAH,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,POINT (-111.5871285339997 39.36070374600047),,UTAH
KANSAS,2014,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-98.20077655499966 38.34774033400049),,KANSAS
NEW YORK CITY,2014,1,,-,1,,39,,,-,,-,,-,4,,13,,,-,2,,,-,0,,2,,,-,1,,,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY
NORTH DAKOTA,2014,1,,-,0,,5,,,-,,-,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),,NORTH DAKOTA
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA
COLORADO,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.13360888799969 38.84384047000049),,COLORADO
PENNSYLVANIA,2014,1,7,,80,,540,,7,,36,,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,,POINT (-77.86069775999965 40.79373106100047),,PENNSYLVANIA
NEW MEXICO,2014,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),,NEW MEXICO
MAINE,2014,1,,-,14,,99,,,-,1,,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,,POINT (-68.98502952999962 45.254228663000504),,MAINE
RHODE ISLAND,2014,1,,-,9,,54,,,-,,-,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,,POINT (-71.52246918099962 41.70828281900049),,RHODE ISLAND
NEW YORK,2014,1,,-,43,,257,,,-,4,,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,,POINT (-75.54396639699968 42.82700023900048),,NEW YORK
