Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2016","Lyme disease, Cum 2016, flag","Lyme disease, Cum 2015","Lyme disease, Cum 2015, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag","Malaria, Cum 2015","Malaria, Cum 2015, flag","Meningococcal disease, invasive§, All serogroups, Current week","Meningococcal disease, invasive§, All serogroups, Current week, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive§, All serogroups, Cum 2016","Meningococcal disease, invasive§, All serogroups, Cum 2016, flag","Meningococcal disease, invasive§, All serogroups, Cum 2015","Meningococcal disease, invasive§, All serogroups, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,48,,433,,2240,,48,,169,,11,,22,,56,,11,,18,,1,,6,,15,,1,,8,,,
NEW ENGLAND,2016,1,,-,79,,723,,,-,49,,1,,1,,6,,1,,1,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2016,1,42,,229,,1246,,42,,90,,5,,5,,24,,5,,5,,,-,1,,4,,,-,,-,,
NEW YORK CITY,2016,1,2,,4,,560,,2,,1,,5,,2,,17,,5,,,-,,-,0,,2,,,-,,-,NEW YORK CITY,
E.N. CENTRAL,2016,1,1,,20,,173,,1,,6,,1,,2,,6,,1,,4,,,-,1,,5,,,-,1,,,
W.N. CENTRAL,2016,1,,-,4,,30,,,-,,-,,-,0,,3,,,-,1,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2016,1,4,,67,,233,,4,,24,,3,,6,,15,,3,,2,,,-,1,,5,,,-,4,,,
DIST. OF COL.,2016,1,,-,1,,8,,,-,3,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2016,1,1,,2,,11,,1,,,-,,-,0,,4,,,-,2,,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2016,1,,-,1,,6,,,-,,-,1,,2,,9,,1,,,-,,-,1,,5,,,-,,-,,
MOUNTAIN,2016,1,,-,1,,2,,,-,,-,,-,1,,3,,,-,,-,,-,0,,3,,,-,,-,,
PACIFIC,2016,1,,-,2,,11,,,-,,-,,-,2,,7,,,-,3,,1,,1,,7,,1,,3,,,
AMER. SAMOA,2016,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2016,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW MEXICO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2016,1,1,,3,,24,,1,,7,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2016,1,34,,127,,835,,34,,55,,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MICHIGAN,2016,1,1,,2,,11,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
