Country,calendar_start_date,calendar_end_date,Year,dengue_total
AFGHANISTAN,1/3/2021,1/9/2021,2021,101
AFGHANISTAN,1/10/2021,1/16/2021,2021,151
AFGHANISTAN,1/17/2021,1/23/2021,2021,201
AFGHANISTAN,1/24/2021,1/30/2021,2021,202
AFGHANISTAN,1/31/2021,2/6/2021,2021,100
AFGHANISTAN,2/7/2021,2/13/2021,2021,251
AFGHANISTAN,2/14/2021,2/20/2021,2021,101
AFGHANISTAN,2/21/2021,2/27/2021,2021,61
AFGHANISTAN,2/28/2021,3/6/2021,2021,99
AFGHANISTAN,3/7/2021,3/13/2021,2021,112
AFGHANISTAN,3/14/2021,3/20/2021,2021,70
AFGHANISTAN,3/21/2021,3/27/2021,2021,70
AFGHANISTAN,3/28/2021,4/3/2021,2021,99
AFGHANISTAN,4/4/2021,4/10/2021,2021,99
AFGHANISTAN,4/11/2021,4/17/2021,2021,75
AFGHANISTAN,4/18/2021,4/24/2021,2021,99
AFGHANISTAN,4/25/2021,5/1/2021,2021,94
AFGHANISTAN,5/2/2021,5/8/2021,2021,77
AFGHANISTAN,5/9/2021,5/15/2021,2021,150
AFGHANISTAN,5/16/2021,5/22/2021,2021,101
AFGHANISTAN,5/23/2021,5/29/2021,2021,99
AFGHANISTAN,5/30/2021,6/5/2021,2021,110
AFGHANISTAN,6/6/2021,6/12/2021,2021,97
AFGHANISTAN,6/13/2021,6/19/2021,2021,91
AFGHANISTAN,6/20/2021,6/26/2021,2021,53
AFGHANISTAN,6/27/2021,7/3/2021,2021,51
AFGHANISTAN,7/4/2021,7/10/2021,2021,67
AFGHANISTAN,7/11/2021,7/17/2021,2021,51
AFGHANISTAN,7/18/2021,7/24/2021,2021,30
AFGHANISTAN,7/25/2021,7/31/2021,2021,36
AFGHANISTAN,8/1/2021,8/7/2021,2021,47
AFGHANISTAN,8/8/2021,8/14/2021,2021,46
AFGHANISTAN,8/15/2021,8/21/2021,2021,51
AFGHANISTAN,8/22/2021,8/28/2021,2021,52
AFGHANISTAN,8/29/2021,9/4/2021,2021,54
AFGHANISTAN,9/5/2021,9/11/2021,2021,54
AFGHANISTAN,9/12/2021,9/18/2021,2021,54
AFGHANISTAN,9/19/2021,9/25/2021,2021,51
AFGHANISTAN,9/26/2021,10/2/2021,2021,51
AFGHANISTAN,10/3/2021,10/9/2021,2021,54
AFGHANISTAN,10/10/2021,10/16/2021,2021,100
AFGHANISTAN,10/17/2021,10/23/2021,2021,81
AFGHANISTAN,10/24/2021,10/30/2021,2021,91
AFGHANISTAN,10/31/2021,11/6/2021,2021,100
AFGHANISTAN,11/7/2021,11/13/2021,2021,141
AFGHANISTAN,11/14/2021,11/20/2021,2021,151
ANGUILLA,5/3/2020,5/9/2020,2020,0
ANGUILLA,5/10/2020,5/16/2020,2020,0
ANGUILLA,5/17/2020,5/23/2020,2020,0
ANGUILLA,5/24/2020,5/30/2020,2020,0
ANGUILLA,5/31/2020,6/6/2020,2020,0
ANGUILLA,6/7/2020,6/13/2020,2020,0
ANGUILLA,6/14/2020,6/20/2020,2020,0
ANGUILLA,6/21/2020,6/27/2020,2020,0
ANGUILLA,6/28/2020,7/4/2020,2020,0
ANGUILLA,7/5/2020,7/11/2020,2020,0
ANGUILLA,7/12/2020,7/18/2020,2020,0
ANGUILLA,7/19/2020,7/25/2020,2020,0
ANGUILLA,7/26/2020,8/1/2020,2020,0
ANGUILLA,8/2/2020,8/8/2020,2020,0
ANGUILLA,8/9/2020,8/15/2020,2020,0
ANGUILLA,8/16/2020,8/22/2020,2020,0
ANGUILLA,8/23/2020,8/29/2020,2020,0
ANGUILLA,8/30/2020,9/5/2020,2020,0
ANGUILLA,9/6/2020,9/12/2020,2020,0
ANGUILLA,9/13/2020,9/19/2020,2020,0
ANGUILLA,9/20/2020,9/26/2020,2020,0
ANGUILLA,9/27/2020,10/3/2020,2020,0
ANGUILLA,10/4/2020,10/10/2020,2020,0
ANGUILLA,10/11/2020,10/17/2020,2020,0
ANGUILLA,10/18/2020,10/24/2020,2020,0
ANGUILLA,10/25/2020,10/31/2020,2020,0
ANGUILLA,11/1/2020,11/7/2020,2020,0
ANGUILLA,11/8/2020,11/14/2020,2020,0
ANGUILLA,11/15/2020,11/21/2020,2020,0
ANGUILLA,11/22/2020,11/28/2020,2020,0
ANGUILLA,11/29/2020,12/5/2020,2020,0
ANGUILLA,12/6/2020,12/12/2020,2020,0
ANGUILLA,12/13/2020,12/19/2020,2020,0
ANGUILLA,12/20/2020,12/26/2020,2020,0
ANGUILLA,12/27/2020,1/2/2021,2020,0
ANTIGUA AND BARBUDA,5/3/2020,5/9/2020,2020,0
ANTIGUA AND BARBUDA,5/10/2020,5/16/2020,2020,2
ANTIGUA AND BARBUDA,5/17/2020,5/23/2020,2020,1
ANTIGUA AND BARBUDA,5/24/2020,5/30/2020,2020,2
ANTIGUA AND BARBUDA,5/31/2020,6/6/2020,2020,2
ANTIGUA AND BARBUDA,6/7/2020,6/13/2020,2020,1
ANTIGUA AND BARBUDA,6/14/2020,6/20/2020,2020,0
ANTIGUA AND BARBUDA,6/21/2020,6/27/2020,2020,0
ANTIGUA AND BARBUDA,6/28/2020,7/4/2020,2020,0
ANTIGUA AND BARBUDA,7/5/2020,7/11/2020,2020,0
ANTIGUA AND BARBUDA,7/12/2020,7/18/2020,2020,1
ANTIGUA AND BARBUDA,7/19/2020,7/25/2020,2020,0
ANTIGUA AND BARBUDA,7/26/2020,8/1/2020,2020,0
ANTIGUA AND BARBUDA,8/2/2020,8/8/2020,2020,1
ANTIGUA AND BARBUDA,8/9/2020,8/15/2020,2020,1
ANTIGUA AND BARBUDA,8/16/2020,8/22/2020,2020,0
ANTIGUA AND BARBUDA,8/23/2020,8/29/2020,2020,0
ANTIGUA AND BARBUDA,8/30/2020,9/5/2020,2020,0
ANTIGUA AND BARBUDA,9/6/2020,9/12/2020,2020,0
ANTIGUA AND BARBUDA,9/13/2020,9/19/2020,2020,0
ANTIGUA AND BARBUDA,9/20/2020,9/26/2020,2020,0
ANTIGUA AND BARBUDA,9/27/2020,10/3/2020,2020,0
ANTIGUA AND BARBUDA,10/4/2020,10/10/2020,2020,0
ANTIGUA AND BARBUDA,10/11/2020,10/17/2020,2020,0
ANTIGUA AND BARBUDA,10/18/2020,10/24/2020,2020,0
ANTIGUA AND BARBUDA,10/25/2020,10/31/2020,2020,0
ANTIGUA AND BARBUDA,11/1/2020,11/7/2020,2020,0
ANTIGUA AND BARBUDA,11/8/2020,11/14/2020,2020,0
ANTIGUA AND BARBUDA,11/15/2020,11/21/2020,2020,0
ANTIGUA AND BARBUDA,11/22/2020,11/28/2020,2020,0
ANTIGUA AND BARBUDA,11/29/2020,12/5/2020,2020,0
ANTIGUA AND BARBUDA,12/6/2020,12/12/2020,2020,0
ANTIGUA AND BARBUDA,12/13/2020,12/19/2020,2020,0
ANTIGUA AND BARBUDA,12/20/2020,12/26/2020,2020,0
ANTIGUA AND BARBUDA,12/27/2020,1/2/2021,2020,0
ANTIGUA AND BARBUDA,6/20/2021,6/26/2021,2021,0
ANTIGUA AND BARBUDA,6/27/2021,7/3/2021,2021,0
ANTIGUA AND BARBUDA,7/4/2021,7/10/2021,2021,0
ANTIGUA AND BARBUDA,7/11/2021,7/17/2021,2021,0
ANTIGUA AND BARBUDA,7/18/2021,7/24/2021,2021,0
ANTIGUA AND BARBUDA,7/25/2021,7/31/2021,2021,0
ANTIGUA AND BARBUDA,8/1/2021,8/7/2021,2021,0
ANTIGUA AND BARBUDA,8/8/2021,8/14/2021,2021,0
ANTIGUA AND BARBUDA,8/15/2021,8/21/2021,2021,0
ANTIGUA AND BARBUDA,8/22/2021,8/28/2021,2021,0
ANTIGUA AND BARBUDA,8/29/2021,9/4/2021,2021,0
ANTIGUA AND BARBUDA,9/5/2021,9/11/2021,2021,0
ANTIGUA AND BARBUDA,9/12/2021,9/18/2021,2021,0
ANTIGUA AND BARBUDA,9/19/2021,9/25/2021,2021,0
ANTIGUA AND BARBUDA,9/26/2021,10/2/2021,2021,0
ANTIGUA AND BARBUDA,10/3/2021,10/9/2021,2021,0
ANTIGUA AND BARBUDA,10/10/2021,10/16/2021,2021,0
ANTIGUA AND BARBUDA,10/17/2021,10/23/2021,2021,0
ANTIGUA AND BARBUDA,10/24/2021,10/30/2021,2021,0
ANTIGUA AND BARBUDA,10/31/2021,11/6/2021,2021,0
ANTIGUA AND BARBUDA,11/7/2021,11/13/2021,2021,0
ANTIGUA AND BARBUDA,11/14/2021,11/20/2021,2021,0
ANTIGUA AND BARBUDA,11/21/2021,11/27/2021,2021,0
ANTIGUA AND BARBUDA,11/28/2021,12/4/2021,2021,0
ANTIGUA AND BARBUDA,12/5/2021,12/11/2021,2021,0
ANTIGUA AND BARBUDA,12/12/2021,12/18/2021,2021,0
ANTIGUA AND BARBUDA,12/19/2021,12/25/2021,2021,0
ANTIGUA AND BARBUDA,12/26/2021,1/1/2022,2021,0
ANTIGUA AND BARBUDA,1/30/2022,2/5/2022,2022,0
ANTIGUA AND BARBUDA,2/6/2022,2/12/2022,2022,0
ANTIGUA AND BARBUDA,2/13/2022,2/19/2022,2022,0
ANTIGUA AND BARBUDA,2/20/2022,2/26/2022,2022,0
ANTIGUA AND BARBUDA,2/27/2022,3/5/2022,2022,0
ANTIGUA AND BARBUDA,3/6/2022,3/12/2022,2022,0
ANTIGUA AND BARBUDA,3/13/2022,3/19/2022,2022,0
ANTIGUA AND BARBUDA,3/20/2022,3/26/2022,2022,0
ANTIGUA AND BARBUDA,3/27/2022,4/2/2022,2022,0
ANTIGUA AND BARBUDA,4/3/2022,4/9/2022,2022,0
ANTIGUA AND BARBUDA,4/10/2022,4/16/2022,2022,0
ANTIGUA AND BARBUDA,4/17/2022,4/23/2022,2022,0
ANTIGUA AND BARBUDA,4/24/2022,4/30/2022,2022,0
ANTIGUA AND BARBUDA,5/1/2022,5/7/2022,2022,0
ANTIGUA AND BARBUDA,5/8/2022,5/14/2022,2022,0
ANTIGUA AND BARBUDA,5/15/2022,5/21/2022,2022,0
ANTIGUA AND BARBUDA,5/22/2022,5/28/2022,2022,0
ANTIGUA AND BARBUDA,5/29/2022,6/4/2022,2022,0
ANTIGUA AND BARBUDA,6/5/2022,6/11/2022,2022,0
ANTIGUA AND BARBUDA,6/12/2022,6/18/2022,2022,0
ANTIGUA AND BARBUDA,6/19/2022,6/25/2022,2022,0
ANTIGUA AND BARBUDA,6/26/2022,7/2/2022,2022,0
ANTIGUA AND BARBUDA,7/3/2022,7/9/2022,2022,0
ANTIGUA AND BARBUDA,7/10/2022,7/16/2022,2022,0
ANTIGUA AND BARBUDA,7/17/2022,7/23/2022,2022,0
ANTIGUA AND BARBUDA,7/24/2022,7/30/2022,2022,0
ANTIGUA AND BARBUDA,7/31/2022,8/6/2022,2022,0
ANTIGUA AND BARBUDA,8/7/2022,8/13/2022,2022,0
ANTIGUA AND BARBUDA,8/14/2022,8/20/2022,2022,0
ANTIGUA AND BARBUDA,8/21/2022,8/27/2022,2022,0
ANTIGUA AND BARBUDA,8/28/2022,9/3/2022,2022,0
ANTIGUA AND BARBUDA,9/11/2022,9/17/2022,2022,0
ANTIGUA AND BARBUDA,9/18/2022,9/24/2022,2022,0
ANTIGUA AND BARBUDA,9/25/2022,10/1/2022,2022,0
ANTIGUA AND BARBUDA,10/2/2022,10/8/2022,2022,0
ANTIGUA AND BARBUDA,10/9/2022,10/15/2022,2022,0
ANTIGUA AND BARBUDA,10/16/2022,10/22/2022,2022,0
ANTIGUA AND BARBUDA,10/23/2022,10/29/2022,2022,0
ANTIGUA AND BARBUDA,10/30/2022,11/5/2022,2022,0
ANTIGUA AND BARBUDA,11/6/2022,11/12/2022,2022,0
ANTIGUA AND BARBUDA,11/13/2022,11/19/2022,2022,0
ANTIGUA AND BARBUDA,11/20/2022,11/26/2022,2022,0
ANTIGUA AND BARBUDA,11/27/2022,12/3/2022,2022,0
ANTIGUA AND BARBUDA,12/4/2022,12/10/2022,2022,0
ANTIGUA AND BARBUDA,12/11/2022,12/17/2022,2022,0
ANTIGUA AND BARBUDA,12/18/2022,12/24/2022,2022,0
ANTIGUA AND BARBUDA,12/25/2022,12/31/2022,2022,0
ARGENTINA,5/3/2020,5/9/2020,2020,3928
ARGENTINA,5/10/2020,5/16/2020,2020,3128
ARGENTINA,5/17/2020,5/23/2020,2020,1949
ARGENTINA,5/24/2020,5/30/2020,2020,1025
ARGENTINA,5/31/2020,6/6/2020,2020,440
ARGENTINA,6/7/2020,6/13/2020,2020,276
ARGENTINA,6/14/2020,6/20/2020,2020,120
ARGENTINA,6/21/2020,6/27/2020,2020,104
ARGENTINA,6/28/2020,7/4/2020,2020,74
ARGENTINA,7/5/2020,7/11/2020,2020,23
ARGENTINA,7/12/2020,7/18/2020,2020,17
ARGENTINA,7/19/2020,7/25/2020,2020,27
ARGENTINA,7/26/2020,8/1/2020,2020,2
ARGENTINA,8/2/2020,8/8/2020,2020,5
ARGENTINA,8/9/2020,8/15/2020,2020,1
ARGENTINA,8/16/2020,8/22/2020,2020,1
ARGENTINA,8/23/2020,8/29/2020,2020,4
ARGENTINA,8/30/2020,9/5/2020,2020,4
ARGENTINA,9/6/2020,9/12/2020,2020,3
ARGENTINA,9/13/2020,9/19/2020,2020,2
ARGENTINA,9/20/2020,9/26/2020,2020,4
ARGENTINA,9/27/2020,10/3/2020,2020,3
ARGENTINA,10/4/2020,10/10/2020,2020,0
ARGENTINA,10/11/2020,10/17/2020,2020,2
ARGENTINA,10/18/2020,10/24/2020,2020,1
ARGENTINA,10/25/2020,10/31/2020,2020,4
ARGENTINA,11/1/2020,11/7/2020,2020,4
ARGENTINA,11/8/2020,11/14/2020,2020,3
ARGENTINA,11/15/2020,11/21/2020,2020,0
ARGENTINA,11/22/2020,11/28/2020,2020,0
ARGENTINA,11/29/2020,12/5/2020,2020,0
ARGENTINA,12/6/2020,12/12/2020,2020,0
ARGENTINA,12/13/2020,12/19/2020,2020,0
ARGENTINA,12/20/2020,12/26/2020,2020,0
ARGENTINA,12/27/2020,1/2/2021,2020,0
ARGENTINA,1/3/2021,1/9/2021,2021,10
ARGENTINA,1/10/2021,1/16/2021,2021,17
ARGENTINA,1/17/2021,1/23/2021,2021,35
ARGENTINA,1/24/2021,1/30/2021,2021,49
ARGENTINA,1/31/2021,2/6/2021,2021,95
ARGENTINA,2/7/2021,2/13/2021,2021,102
ARGENTINA,2/14/2021,2/20/2021,2021,103
ARGENTINA,2/21/2021,2/27/2021,2021,129
ARGENTINA,2/28/2021,3/6/2021,2021,109
ARGENTINA,3/7/2021,3/13/2021,2021,212
ARGENTINA,3/14/2021,3/20/2021,2021,210
ARGENTINA,3/21/2021,3/27/2021,2021,155
ARGENTINA,3/28/2021,4/3/2021,2021,198
ARGENTINA,4/4/2021,4/10/2021,2021,240
ARGENTINA,4/11/2021,4/17/2021,2021,307
ARGENTINA,4/18/2021,4/24/2021,2021,390
ARGENTINA,4/25/2021,5/1/2021,2021,450
ARGENTINA,5/2/2021,5/8/2021,2021,355
ARGENTINA,5/9/2021,5/15/2021,2021,236
ARGENTINA,5/16/2021,5/22/2021,2021,111
ARGENTINA,5/23/2021,5/29/2021,2021,121
ARGENTINA,5/30/2021,6/5/2021,2021,89
ARGENTINA,6/6/2021,6/12/2021,2021,50
ARGENTINA,6/13/2021,6/19/2021,2021,24
ARGENTINA,6/20/2021,6/26/2021,2021,4
ARGENTINA,1/2/2022,1/8/2022,2022,0
ARGENTINA,1/9/2022,1/15/2022,2022,0
ARGENTINA,1/16/2022,1/22/2022,2022,0
ARGENTINA,1/23/2022,1/29/2022,2022,0
ARGENTINA,1/30/2022,2/5/2022,2022,0
ARGENTINA,2/6/2022,2/12/2022,2022,0
ARGENTINA,2/13/2022,2/19/2022,2022,1
ARGENTINA,2/20/2022,2/26/2022,2022,8
ARGENTINA,2/27/2022,3/5/2022,2022,0
ARGENTINA,3/6/2022,3/12/2022,2022,17
ARGENTINA,3/13/2022,3/19/2022,2022,20
ARGENTINA,3/20/2022,3/26/2022,2022,19
ARGENTINA,3/27/2022,4/2/2022,2022,84
ARGENTINA,4/3/2022,4/9/2022,2022,46
ARGENTINA,4/10/2022,4/16/2022,2022,107
ARGENTINA,4/17/2022,4/23/2022,2022,79
ARGENTINA,11/27/2022,12/3/2022,2022,0
ARGENTINA,12/4/2022,12/10/2022,2022,0
ARGENTINA,12/11/2022,12/17/2022,2022,2
ARGENTINA,12/18/2022,12/24/2022,2022,0
ARGENTINA,12/25/2022,12/31/2022,2022,0
ARUBA,6/14/2020,6/20/2020,2020,0
ARUBA,6/21/2020,6/27/2020,2020,0
ARUBA,6/28/2020,7/4/2020,2020,0
ARUBA,7/5/2020,7/11/2020,2020,0
ARUBA,7/12/2020,7/18/2020,2020,0
ARUBA,7/19/2020,7/25/2020,2020,0
ARUBA,7/26/2020,8/1/2020,2020,0
ARUBA,8/2/2020,8/8/2020,2020,0
ARUBA,8/9/2020,8/15/2020,2020,0
ARUBA,8/16/2020,8/22/2020,2020,0
ARUBA,8/23/2020,8/29/2020,2020,0
ARUBA,8/30/2020,9/5/2020,2020,0
ARUBA,9/6/2020,9/12/2020,2020,0
ARUBA,9/13/2020,9/19/2020,2020,0
ARUBA,9/20/2020,9/26/2020,2020,0
ARUBA,9/27/2020,10/3/2020,2020,0
ARUBA,10/4/2020,10/10/2020,2020,0
ARUBA,10/11/2020,10/17/2020,2020,0
ARUBA,10/18/2020,10/24/2020,2020,0
ARUBA,10/25/2020,10/31/2020,2020,0
ARUBA,11/1/2020,11/7/2020,2020,0
ARUBA,11/8/2020,11/14/2020,2020,0
ARUBA,11/15/2020,11/21/2020,2020,0
ARUBA,11/22/2020,11/28/2020,2020,0
ARUBA,11/29/2020,12/5/2020,2020,0
ARUBA,12/6/2020,12/12/2020,2020,0
ARUBA,12/13/2020,12/19/2020,2020,0
ARUBA,12/20/2020,12/26/2020,2020,0
ARUBA,12/27/2020,1/2/2021,2020,0
ARUBA,3/28/2021,4/3/2021,2021,0
ARUBA,4/4/2021,4/10/2021,2021,0
ARUBA,4/11/2021,4/17/2021,2021,0
ARUBA,4/18/2021,4/24/2021,2021,0
ARUBA,4/25/2021,5/1/2021,2021,0
ARUBA,5/2/2021,5/8/2021,2021,0
