State.Name,temp,year
ALABAMA,65.375,2019
ARIZONA,60.28333333,2019
ARKANSAS,61.225,2019
CALIFORNIA,58.375,2019
COLORADO,45.25833333,2019
CONNECTICUT,49.825,2019
DELAWARE,57.51666667,2019
FLORIDA,73.18333333,2019
GEORGIA,66.225,2019
IDAHO,42.96666667,2019
ILLINOIS,52.09166667,2019
INDIANA,52.39166667,2019
IOWA,46.825,2019
KANSAS,53.875,2019
KENTUCKY,57.525,2019
LOUISIANA,67.76666667,2019
MAINE,40.65833333,2019
MARYLAND,56.58333333,2019
MASSACHUSETTS,48.61666667,2019
MICHIGAN,43.925,2019
MINNESOTA,39.26666667,2019
MISSISSIPPI,65.1,2019
MISSOURI,54.975,2019
MONTANA,39.90833333,2019
NEBRASKA,47.475,2019
NEVADA,49.80833333,2019
NEW HAMPSHIRE,43.24166667,2019
NEW JERSEY,54.29166667,2019
NEW MEXICO,54.43333333,2019
NEW YORK,45.25833333,2019
NORTH CAROLINA,61.21666667,2019
NORTH DAKOTA,38.04166667,2019
OHIO,52.38333333,2019
OKLAHOMA,59.8,2019
OREGON,47.16666667,2019
PENNSYLVANIA,49.88333333,2019
RHODE ISLAND,50.58333333,2019
SOUTH CAROLINA,65.00833333,2019
SOUTH DAKOTA,42.49166667,2019
TENNESSEE,59.81666667,2019
TEXAS,65.85833333,2019
UTAH,47.88333333,2019
VERMONT,41.875,2019
VIRGINIA,57.43333333,2019
WASHINGTON,46.55,2019
WEST VIRGINIA,54.15,2019
WISCONSIN,42.075,2019
WYOMING,40.38333333,2019
Florida,70.7,2023
Hawaii,70,2023
Louisiana,66.4,2023
Texas,64.8,2023
Georgia,63.5,2023
Mississippi,63.4,2023
Alabama,62.8,2023
South Carolina,62.4,2023
Arkansas,60.4,2023
Arizona,60.3,2023
Oklahoma,59.6,2023
California,59.4,2023
North Carolina,59,2023
Tennessee,57.6,2023
Kentucky,55.6,2023
Delaware,55.3,2023
Virginia,55.1,2023
Missouri,54.5,2023
Kansas,54.3,2023
Maryland,54.2,2023
New Mexico,53.4,2023
New Jersey,52.7,2023
Illinois,51.8,2023
West Virginia,51.8,2023
Indiana,51.7,2023
Ohio,50.7,2023
Rhode Island,50.1,2023
Nevada,49.9,2023
Connecticut,49,2023
Nebraska,48.8,2023
Pennsylvania,48.8,2023
Utah,48.6,2023
Oregon,48.4,2023
Washington,48.3,2023
Massachusetts,47.9,2023
Iowa,47.8,2023
New York,45.4,2023
South Dakota,45.2,2023
Colorado,45.1,2023
Idaho,44.4,2023
Michigan,44.4,2023
New Hampshire,43.8,2023
Wisconsin,43.1,2023
Vermont,42.9,2023
Montana,42.7,2023
Wyoming,42,2023
Minnesota,41.2,2023
Maine,41,2023
North Dakota,40.4,2023
Alaska,26.6,2023
