month,year,Reporting.Area,average_temp
1,2019,ALABAMA,47.8
1,2019,ARIZONA,42.6
1,2019,ARKANSAS,42.5
1,2019,CALIFORNIA,45.4
1,2019,COLORADO,26.3
1,2019,CONNECTICUT,30.4
1,2019,DELAWARE,38.4
1,2019,FLORIDA,60.1
1,2019,GEORGIA,49.2
1,2019,IDAHO,25.3
1,2019,ILLINOIS,29.9
1,2019,INDIANA,31.2
1,2019,IOWA,23.4
1,2019,KANSAS,32.8
1,2019,KENTUCKY,37.8
1,2019,LOUISIANA,51.2
1,2019,MAINE,17.2
1,2019,MARYLAND,36.6
1,2019,MASSACHUSETTS,29
1,2019,MICHIGAN,22.8
1,2019,MINNESOTA,13.4
1,2019,MISSISSIPPI,47.6
1,2019,MISSOURI,33.9
1,2019,MONTANA,24.8
1,2019,NEBRASKA,27.2
1,2019,NEVADA,33
1,2019,NEW HAMPSHIRE,21.4
1,2019,NEW JERSEY,34.7
1,2019,NEW MEXICO,35.6
1,2019,NEW YORK,24
1,2019,NORTH CAROLINA,43.5
1,2019,NORTH DAKOTA,15.3
1,2019,OHIO,31.2
1,2019,OKLAHOMA,39.6
1,2019,OREGON,33.8
1,2019,PENNSYLVANIA,29.6
1,2019,RHODE ISLAND,32.2
1,2019,SOUTH CAROLINA,47.6
1,2019,SOUTH DAKOTA,21.6
1,2019,TENNESSEE,41
1,2019,TEXAS,47.8
1,2019,UTAH,27.2
1,2019,VERMONT,19
1,2019,VIRGINIA,38
1,2019,WASHINGTON,33.6
1,2019,WEST VIRGINIA,34.4
1,2019,WISCONSIN,19.1
1,2019,WYOMING,21.8
2,2019,ALABAMA,51.3
2,2019,ARIZONA,41.6
2,2019,ARKANSAS,43.4
2,2019,CALIFORNIA,43.4
2,2019,COLORADO,25.4
2,2019,CONNECTICUT,28.6
2,2019,DELAWARE,37
2,2019,FLORIDA,63
2,2019,GEORGIA,52.2
2,2019,IDAHO,24.8
2,2019,ILLINOIS,27.4
2,2019,INDIANA,29.6
2,2019,IOWA,17
2,2019,KANSAS,29.6
2,2019,KENTUCKY,38.7
2,2019,LOUISIANA,53.8
2,2019,MAINE,15.2
2,2019,MARYLAND,35.8
2,2019,MASSACHUSETTS,27.2
2,2019,MICHIGAN,18.4
2,2019,MINNESOTA,6
2,2019,MISSISSIPPI,50.6
2,2019,MISSOURI,32
2,2019,MONTANA,14.9
2,2019,NEBRASKA,21.8
2,2019,NEVADA,32
2,2019,NEW HAMPSHIRE,19.5
2,2019,NEW JERSEY,33.2
2,2019,NEW MEXICO,36.8
2,2019,NEW YORK,21.8
2,2019,NORTH CAROLINA,45
2,2019,NORTH DAKOTA,3.6
2,2019,OHIO,30.2
2,2019,OKLAHOMA,39.3
2,2019,OREGON,32
2,2019,PENNSYLVANIA,28
2,2019,RHODE ISLAND,30.3
2,2019,SOUTH CAROLINA,49.8
2,2019,SOUTH DAKOTA,12
2,2019,TENNESSEE,43
2,2019,TEXAS,49.6
2,2019,UTAH,27.1
2,2019,VERMONT,17
2,2019,VIRGINIA,39
2,2019,WASHINGTON,29.8
2,2019,WEST VIRGINIA,35.2
2,2019,WISCONSIN,13.3
2,2019,WYOMING,19.4
3,2019,ALABAMA,55.6
3,2019,ARIZONA,46.3
3,2019,ARKANSAS,47.4
3,2019,CALIFORNIA,44.8
3,2019,COLORADO,29.4
3,2019,CONNECTICUT,32.6
3,2019,DELAWARE,41
3,2019,FLORIDA,66.6
3,2019,GEORGIA,56.2
3,2019,IDAHO,27.8
3,2019,ILLINOIS,33.3
3,2019,INDIANA,34.8
3,2019,IOWA,23.2
3,2019,KANSAS,33.6
3,2019,KENTUCKY,42.7
3,2019,LOUISIANA,57.9
3,2019,MAINE,20.5
3,2019,MARYLAND,39.8
3,2019,MASSACHUSETTS,31.1
3,2019,MICHIGAN,23.7
3,2019,MINNESOTA,14
3,2019,MISSISSIPPI,54.8
3,2019,MISSOURI,37
3,2019,MONTANA,15.2
3,2019,NEBRASKA,24.4
3,2019,NEVADA,35
3,2019,NEW HAMPSHIRE,24.2
3,2019,NEW JERSEY,37
3,2019,NEW MEXICO,41.8
3,2019,NEW YORK,26.8
3,2019,NORTH CAROLINA,48.4
3,2019,NORTH DAKOTA,9
3,2019,OHIO,34.9
3,2019,OKLAHOMA,43.8
3,2019,OREGON,33
3,2019,PENNSYLVANIA,32.4
3,2019,RHODE ISLAND,33.8
3,2019,SOUTH CAROLINA,53.6
3,2019,SOUTH DAKOTA,15.6
3,2019,TENNESSEE,46.8
3,2019,TEXAS,53.8
3,2019,UTAH,32.7
3,2019,VERMONT,22.4
3,2019,VIRGINIA,42.8
3,2019,WASHINGTON,30.8
3,2019,WEST VIRGINIA,39.3
3,2019,WISCONSIN,19.6
3,2019,WYOMING,21.9
4,2019,ALABAMA,59.2
4,2019,ARIZONA,56
4,2019,ARKANSAS,54.8
4,2019,CALIFORNIA,53.6
4,2019,COLORADO,39.6
4,2019,CONNECTICUT,42
4,2019,DELAWARE,51
4,2019,FLORIDA,68.4
4,2019,GEORGIA,60.4
4,2019,IDAHO,37.6
4,2019,ILLINOIS,44.9
4,2019,INDIANA,44.7
4,2019,IOWA,40.2
4,2019,KANSAS,47.4
4,2019,KENTUCKY,50.4
4,2019,LOUISIANA,61.7
4,2019,MAINE,31.8
4,2019,MARYLAND,50
4,2019,MASSACHUSETTS,40.7
4,2019,MICHIGAN,35
4,2019,MINNESOTA,32
4,2019,MISSISSIPPI,58.9
4,2019,MISSOURI,48.8
4,2019,MONTANA,33.6
4,2019,NEBRASKA,40.4
4,2019,NEVADA,45.1
4,2019,NEW HAMPSHIRE,34.9
4,2019,NEW JERSEY,47.1
4,2019,NEW MEXICO,49.8
4,2019,NEW YORK,37
4,2019,NORTH CAROLINA,54.9
4,2019,NORTH DAKOTA,31.2
4,2019,OHIO,44.6
4,2019,OKLAHOMA,53.8
4,2019,OREGON,41.7
4,2019,PENNSYLVANIA,42.6
4,2019,RHODE ISLAND,42.6
4,2019,SOUTH CAROLINA,59
4,2019,SOUTH DAKOTA,34.6
4,2019,TENNESSEE,53.1
4,2019,TEXAS,60.4
4,2019,UTAH,43.4
4,2019,VERMONT,33.6
4,2019,VIRGINIA,51
4,2019,WASHINGTON,41.2
4,2019,WEST VIRGINIA,47.5
4,2019,WISCONSIN,34
4,2019,WYOMING,34
5,2019,ALABAMA,68.8
5,2019,ARIZONA,60.5
5,2019,ARKANSAS,65.7
5,2019,CALIFORNIA,58.4
5,2019,COLORADO,46.7
5,2019,CONNECTICUT,53.1
5,2019,DELAWARE,62.8
5,2019,FLORIDA,75
5,2019,GEORGIA,70.1
5,2019,IDAHO,46.4
5,2019,ILLINOIS,57.5
5,2019,INDIANA,57.4
5,2019,IOWA,52.9
5,2019,KANSAS,58
5,2019,KENTUCKY,63.1
5,2019,LOUISIANA,70.6
5,2019,MAINE,43.4
5,2019,MARYLAND,62.6
5,2019,MASSACHUSETTS,51.5
5,2019,MICHIGAN,47.2
5,2019,MINNESOTA,46
5,2019,MISSISSIPPI,68.7
5,2019,MISSOURI,60.6
5,2019,MONTANA,44.8
5,2019,NEBRASKA,51.4
5,2019,NEVADA,50.9
5,2019,NEW HAMPSHIRE,46.8
5,2019,NEW JERSEY,58.8
5,2019,NEW MEXICO,56
5,2019,NEW YORK,49.4
5,2019,NORTH CAROLINA,66.6
5,2019,NORTH DAKOTA,45.7
5,2019,OHIO,57.6
5,2019,OKLAHOMA,63.7
5,2019,OREGON,49.4
5,2019,PENNSYLVANIA,55.6
5,2019,RHODE ISLAND,52.8
5,2019,SOUTH CAROLINA,69.7
5,2019,SOUTH DAKOTA,47.3
5,2019,TENNESSEE,64.7
5,2019,TEXAS,68.8
5,2019,UTAH,49.6
5,2019,VERMONT,46
5,2019,VIRGINIA,63.5
5,2019,WASHINGTON,51
5,2019,WEST VIRGINIA,60.2
5,2019,WISCONSIN,47.1
5,2019,WYOMING,42.8
6,2019,ALABAMA,76.1
6,2019,ARIZONA,67.9
6,2019,ARKANSAS,73.1
6,2019,CALIFORNIA,64.8
6,2019,COLORADO,54.2
6,2019,CONNECTICUT,61.8
6,2019,DELAWARE,70.4
6,2019,FLORIDA,80.6
6,2019,GEORGIA,76.9
6,2019,IDAHO,53.5
6,2019,ILLINOIS,66.7
6,2019,INDIANA,66.2
6,2019,IOWA,63
6,2019,KANSAS,66.4
6,2019,KENTUCKY,70.2
6,2019,LOUISIANA,78.1
6,2019,MAINE,53.8
6,2019,MARYLAND,69.9
6,2019,MASSACHUSETTS,60.4
