Reporting.Area,MMWR.Year,MMWR.Week,Ehrlichiosis_Anaplasmosis_Cases_Count,Date
UNITED STATES,2014,1,0,1/1/2014
NEW ENGLAND,2014,1,0,1/1/2014
MID. ATLANTIC,2014,1,0,1/1/2014
E.N. CENTRAL,2014,1,0,1/1/2014
W.N. CENTRAL,2014,1,0,1/1/2014
S. ATLANTIC,2014,1,0,1/1/2014
E.S. CENTRAL,2014,1,0,1/1/2014
W.S. CENTRAL,2014,1,0,1/1/2014
MOUNTAIN,2014,1,0,1/1/2014
PACIFIC,2014,1,0,1/1/2014
WEST VIRGINIA,2014,1,0,1/1/2014
MICHIGAN,2014,1,0,1/1/2014
NEW YORK,2014,1,0,1/1/2014
CONNECTICUT,2014,1,0,1/1/2014
NEW MEXICO,2014,1,0,1/1/2014
COLORADO,2014,1,0,1/1/2014
MARYLAND,2014,1,0,1/1/2014
CALIFORNIA,2014,1,0,1/1/2014
NEW HAMPSHIRE,2014,1,0,1/1/2014
PUERTO RICO,2014,1,0,1/1/2014
ILLINOIS,2014,1,0,1/1/2014
TENNESSEE,2014,1,0,1/1/2014
OKLAHOMA,2014,1,0,1/1/2014
WISCONSIN,2014,1,0,1/1/2014
MINNESOTA,2014,1,0,1/1/2014
GEORGIA,2014,1,0,1/1/2014
PENNSYLVANIA,2014,1,0,1/1/2014
KENTUCKY,2014,1,0,1/1/2014
ARKANSAS,2014,1,0,1/1/2014
OREGON,2014,1,0,1/1/2014
DELAWARE,2014,1,0,1/1/2014
GUAM,2014,1,0,1/1/2014
ARIZONA,2014,1,0,1/1/2014
VERMONT,2014,1,0,1/1/2014
NEW YORK CITY,2014,1,0,1/1/2014
DIST. OF COL.,2014,1,0,1/1/2014
NORTH CAROLINA,2014,1,0,1/1/2014
MISSISSIPPI,2014,1,0,1/1/2014
VIRGINIA,2014,1,0,1/1/2014
UTAH,2014,1,0,1/1/2014
LOUISIANA,2014,1,0,1/1/2014
WYOMING,2014,1,0,1/1/2014
IOWA,2014,1,0,1/1/2014
IDAHO,2014,1,0,1/1/2014
NEW JERSEY,2014,1,0,1/1/2014
SOUTH DAKOTA,2014,1,0,1/1/2014
MONTANA,2014,1,0,1/1/2014
SOUTH CAROLINA,2014,1,0,1/1/2014
VIRGIN ISL.,2014,1,0,1/1/2014
NORTH DAKOTA,2014,1,0,1/1/2014
NEBRASKA,2014,1,0,1/1/2014
AMER. SAMOA,2014,1,0,1/1/2014
OHIO,2014,1,0,1/1/2014
KANSAS,2014,1,0,1/1/2014
INDIANA,2014,1,0,1/1/2014
TEXAS,2014,1,0,1/1/2014
MAINE,2014,1,0,1/1/2014
NEVADA,2014,1,0,1/1/2014
MISSOURI,2014,1,0,1/1/2014
ALABAMA,2014,1,0,1/1/2014
FLORIDA,2014,1,0,1/1/2014
C.N.M.I.,2014,1,0,1/1/2014
HAWAII,2014,1,0,1/1/2014
WASHINGTON,2014,1,0,1/1/2014
ALASKA,2014,1,0,1/1/2014
RHODE ISLAND,2014,1,0,1/1/2014
MASSACHUSETTS,2014,1,0,1/1/2014
UNITED STATES,2014,2,1,1/8/2014
NEW ENGLAND,2014,2,0,1/8/2014
MID. ATLANTIC,2014,2,0,1/8/2014
E.N. CENTRAL,2014,2,0,1/8/2014
W.N. CENTRAL,2014,2,0,1/8/2014
S. ATLANTIC,2014,2,1,1/8/2014
E.S. CENTRAL,2014,2,0,1/8/2014
W.S. CENTRAL,2014,2,0,1/8/2014
MOUNTAIN,2014,2,0,1/8/2014
PACIFIC,2014,2,0,1/8/2014
MINNESOTA,2014,2,0,1/8/2014
RHODE ISLAND,2014,2,0,1/8/2014
VERMONT,2014,2,0,1/8/2014
TENNESSEE,2014,2,0,1/8/2014
FLORIDA,2014,2,0,1/8/2014
DIST. OF COL.,2014,2,0,1/8/2014
