"Reporting.Area","MMWR.Year","MMWR.Week","Cryptosporidiosis_Cases_Count"
"GUAM",2019,8,0
"SOUTH CAROLINA",2019,8,2
"RHODE ISLAND",2019,8,0
"WISCONSIN",2019,8,4
"NEBRASKA",2019,8,4
"EAST SOUTH CENTRAL",2019,8,0
"OKLAHOMA",2019,8,2
"LOUISIANA",2019,8,0
"WEST VIRGINIA",2019,8,0
"US RESIDENTS",2019,8,49
"WEST NORTH CENTRAL",2019,8,7
"NON-US RESIDENTS",2019,8,0
"FLORIDA",2019,8,0
"NEW HAMPSHIRE",2019,8,0
"OHIO",2019,8,10
"MISSOURI",2019,8,2
"SOUTH ATLANTIC",2019,8,6
"WASHINGTON",2019,8,1
"KENTUCKY",2019,8,0
"WYOMING",2019,8,0
"NORTH CAROLINA",2019,8,0
"TOTAL",2019,8,49
"IOWA",2019,8,0
"US TERRITORIES",2019,8,0
"NEW ENGLAND",2019,8,0
"DELAWARE",2019,8,0
"NORTH DAKOTA",2019,8,0
"KANSAS",2019,8,0
"UTAH",2019,8,1
"AMERICAN SAMOA",2019,8,0
"WEST SOUTH CENTRAL",2019,8,7
"NEW MEXICO",2019,8,0
"SOUTH ATLANTIC",2019,1,4
"KANSAS",2019,1,0
"TEXAS",2019,1,0
"DISTRICT OF COLUMBIA",2019,1,0
"WEST VIRGINIA",2019,1,0
"PUERTO RICO",2019,1,0
"MONTANA",2019,1,0
"WEST NORTH CENTRAL",2019,1,0
"SOUTH CAROLINA",2019,1,1
"MOUNTAIN",2019,1,3
"MINNESOTA",2019,1,0
"IDAHO",2019,1,0
"NEW HAMPSHIRE",2019,1,0
"OKLAHOMA",2019,1,3
"NEBRASKA",2019,1,0
"FLORIDA",2019,1,0
"KENTUCKY",2019,1,0
"INDIANA",2019,1,0
"AMERICAN SAMOA",2019,1,0
"US RESIDENTS",2019,1,35
"GUAM",2019,1,0
"WYOMING",2019,1,0
"MISSISSIPPI",2019,1,0
"COLORADO",2019,1,1
"TENNESSEE",2019,1,0
"WEST SOUTH CENTRAL",2019,1,3
"NEW JERSEY",2019,1,0
"HAWAII",2019,1,0
"MICHIGAN",2019,1,0
"MASSACHUSETTS",2019,1,1
"ALASKA",2019,1,0
"RHODE ISLAND",2019,1,0
"MIDDLE ATLANTIC",2019,1,6
"LOUISIANA",2019,1,0
"WASHINGTON",2019,1,1
"OREGON",2019,1,3
