"Reporting.Area","MMWR.Year","MMWR.Week","Dengue_Cases_Count"
"MOUNTAIN",2019,1,0
"MISSOURI",2019,1,0
"US RESIDENTS",2019,1,0
"AMERICAN SAMOA",2019,1,0
"NEW YORK CITY",2019,1,0
"WEST NORTH CENTRAL",2019,1,0
"VIRGINIA",2019,1,0
"CALIFORNIA",2019,1,0
"MICHIGAN",2019,1,0
"NEBRASKA",2019,1,0
"NEVADA",2019,1,0
"MAINE",2019,1,0
"IOWA",2019,1,0
"OHIO",2019,1,0
"GEORGIA",2019,1,0
"U.S. VIRGIN ISLANDS",2019,1,0
"RHODE ISLAND",2019,1,0
"OREGON",2019,1,0
"UTAH",2019,1,0
"INDIANA",2019,1,0
"MONTANA",2019,1,0
"CONNECTICUT",2019,1,0
"NEW JERSEY",2019,1,0
"LOUISIANA",2019,1,0
"ARKANSAS",2019,1,0
"EAST NORTH CENTRAL",2019,1,0
"GUAM",2019,1,0
"NEW YORK",2019,1,0
"NORTH CAROLINA",2019,1,0
"PUERTO RICO",2019,1,0
"SOUTH ATLANTIC",2019,1,0
"HAWAII",2019,1,0
"COLORADO",2019,1,0
"MISSISSIPPI",2019,1,0
"DISTRICT OF COLUMBIA",2019,1,0
"NORTH DAKOTA",2019,1,0
"VERMONT",2019,1,0
"FLORIDA",2019,1,0
"WYOMING",2019,1,0
"WEST SOUTH CENTRAL",2019,1,0
"WEST VIRGINIA",2019,1,0
"SOUTH DAKOTA",2019,1,0
"NEW ENGLAND",2019,1,0
"TEXAS",2019,1,0
"WASHINGTON",2019,1,0
"KANSAS",2019,1,0
"MIDDLE ATLANTIC",2019,1,0
"PACIFIC",2019,1,0
"MASSACHUSETTS",2019,1,0
"DELAWARE",2019,1,0
"ILLINOIS",2019,1,0
"OKLAHOMA",2019,1,0
"WISCONSIN",2019,1,0
"IDAHO",2019,1,0
"EAST SOUTH CENTRAL",2019,1,0
"NORTHERN MARIANA ISLANDS",2019,1,0
"PENNSYLVANIA",2019,1,0
"NEW MEXICO",2019,1,0
"TOTAL",2019,1,0
"ARIZONA",2019,1,0
"MARYLAND",2019,1,0
"NEW HAMPSHIRE",2019,1,0
"KENTUCKY",2019,1,0
"MINNESOTA",2019,1,0
"ALABAMA",2019,1,0
"NON-US RESIDENTS",2019,1,0
"ALASKA",2019,1,0
"TENNESSEE",2019,1,0
"US TERRITORIES",2019,1,0
"SOUTH CAROLINA",2019,1,0
"MISSISSIPPI",2019,2,0
"DELAWARE",2019,2,0
"NORTH CAROLINA",2019,2,0
"VIRGINIA",2019,2,0
"OKLAHOMA",2019,2,0
"RHODE ISLAND",2019,2,0
"WISCONSIN",2019,2,0
"NEW MEXICO",2019,2,0
"MICHIGAN",2019,2,0
"OREGON",2019,2,0
"WEST NORTH CENTRAL",2019,2,0
"COLORADO",2019,2,0
"ARKANSAS",2019,2,0
"NEW JERSEY",2019,2,0
"ILLINOIS",2019,2,0
"VERMONT",2019,2,0
"U.S. VIRGIN ISLANDS",2019,2,0
"EAST SOUTH CENTRAL",2019,2,0
"WEST VIRGINIA",2019,2,0
"NEVADA",2019,2,0
"WYOMING",2019,2,0
"GEORGIA",2019,2,0
"US TERRITORIES",2019,2,0
"MARYLAND",2019,2,0
"FLORIDA",2019,2,0
"MINNESOTA",2019,2,0
"DISTRICT OF COLUMBIA",2019,2,0
"TENNESSEE",2019,2,0
"SOUTH DAKOTA",2019,2,0
"NEW YORK",2019,2,0
"NEBRASKA",2019,2,0
"PUERTO RICO",2019,2,0
"ARIZONA",2019,2,0
"AMERICAN SAMOA",2019,2,0
"IDAHO",2019,2,0
"PACIFIC",2019,2,0
"MAINE",2019,2,0
"US RESIDENTS",2019,2,0
"LOUISIANA",2019,2,0
"HAWAII",2019,2,0
"MISSOURI",2019,2,0
"NORTHERN MARIANA ISLANDS",2019,2,0
"NON-US RESIDENTS",2019,2,0
"WASHINGTON",2019,2,0
"GUAM",2019,2,0
"MIDDLE ATLANTIC",2019,2,0
"SOUTH CAROLINA",2019,2,0
"MOUNTAIN",2019,2,0
"IOWA",2019,2,0
"ALABAMA",2019,2,0
"INDIANA",2019,2,0
"SOUTH ATLANTIC",2019,2,0
"UTAH",2019,2,0
"ALASKA",2019,2,0
"TEXAS",2019,2,0
"OHIO",2019,2,0
"NORTH DAKOTA",2019,2,0
"EAST NORTH CENTRAL",2019,2,0
"KANSAS",2019,2,0
"NEW HAMPSHIRE",2019,2,0
"MASSACHUSETTS",2019,2,0
"NEW YORK CITY",2019,2,0
"PENNSYLVANIA",2019,2,0
"KENTUCKY",2019,2,0
"MONTANA",2019,2,0
"WEST SOUTH CENTRAL",2019,2,0
"NEW ENGLAND",2019,2,0
"CONNECTICUT",2019,2,0
"CALIFORNIA",2019,2,0
"TOTAL",2019,2,0
"NEBRASKA",2019,3,0
"ARIZONA",2019,3,0
"WEST NORTH CENTRAL",2019,3,0
"MISSOURI",2019,3,0
"HAWAII",2019,3,0
"WYOMING",2019,3,0
"NEW JERSEY",2019,3,0
"U.S. VIRGIN ISLANDS",2019,3,0
"NEW MEXICO",2019,3,0
"MINNESOTA",2019,3,0
"ALABAMA",2019,3,0
"SOUTH CAROLINA",2019,3,0
"OKLAHOMA",2019,3,0
"US RESIDENTS",2019,3,0
"WISCONSIN",2019,3,0
"MIDDLE ATLANTIC",2019,3,0
"CONNECTICUT",2019,3,0
"NORTH CAROLINA",2019,3,0
"IOWA",2019,3,0
"OHIO",2019,3,0
"MISSISSIPPI",2019,3,0
"SOUTH ATLANTIC",2019,3,0
"WEST VIRGINIA",2019,3,0
"TEXAS",2019,3,0
"ARKANSAS",2019,3,0
"VIRGINIA",2019,3,0
"NEVADA",2019,3,0
"VERMONT",2019,3,0
"COLORADO",2019,3,0
"NEW HAMPSHIRE",2019,3,0
"NORTH DAKOTA",2019,3,0
"ALASKA",2019,3,0
"GEORGIA",2019,3,0
"TOTAL",2019,3,0
"KANSAS",2019,3,0
"PACIFIC",2019,3,0
"NEW YORK CITY",2019,3,0
"MARYLAND",2019,3,0
"GUAM",2019,3,0
"RHODE ISLAND",2019,3,0
"CALIFORNIA",2019,3,0
"UTAH",2019,3,0
"PUERTO RICO",2019,3,0
"NEW ENGLAND",2019,3,0
"PENNSYLVANIA",2019,3,0
"IDAHO",2019,3,0
"DELAWARE",2019,3,0
"US TERRITORIES",2019,3,0
"INDIANA",2019,3,0
"MOUNTAIN",2019,3,0
"MASSACHUSETTS",2019,3,0
"WEST SOUTH CENTRAL",2019,3,0
"MONTANA",2019,3,0
"ILLINOIS",2019,3,0
"WASHINGTON",2019,3,0
"AMERICAN SAMOA",2019,3,0
"LOUISIANA",2019,3,0
"EAST NORTH CENTRAL",2019,3,0
"FLORIDA",2019,3,0
"NEW YORK",2019,3,0
"NON-US RESIDENTS",2019,3,0
"MAINE",2019,3,0
"NORTHERN MARIANA ISLANDS",2019,3,0
"TENNESSEE",2019,3,0
"SOUTH DAKOTA",2019,3,0
"OREGON",2019,3,0
"KENTUCKY",2019,3,0
"DISTRICT OF COLUMBIA",2019,3,0
"MICHIGAN",2019,3,0
"EAST SOUTH CENTRAL",2019,3,0
"OKLAHOMA",2019,4,0
"WEST SOUTH CENTRAL",2019,4,0
"GEORGIA",2019,4,0
"TOTAL",2019,4,1
"TEXAS",2019,4,0
"WYOMING",2019,4,0
"MAINE",2019,4,0
"NEBRASKA",2019,4,0
"VIRGINIA",2019,4,0
"MONTANA",2019,4,0
"AMERICAN SAMOA",2019,4,0
"IOWA",2019,4,0
"EAST NORTH CENTRAL",2019,4,0
"ILLINOIS",2019,4,0
"SOUTH ATLANTIC",2019,4,1
"ARIZONA",2019,4,0
"NON-US RESIDENTS",2019,4,0
"GUAM",2019,4,0
"NEW MEXICO",2019,4,0
"US TERRITORIES",2019,4,0
"OHIO",2019,4,0
"DELAWARE",2019,4,0
"SOUTH DAKOTA",2019,4,0
"NORTHERN MARIANA ISLANDS",2019,4,0
"PUERTO RICO",2019,4,0
"INDIANA",2019,4,0
"NORTH CAROLINA",2019,4,0
"ARKANSAS",2019,4,0
"MIDDLE ATLANTIC",2019,4,0
"IDAHO",2019,4,0
"NEW HAMPSHIRE",2019,4,0
"FLORIDA",2019,4,0
"MICHIGAN",2019,4,0
"WISCONSIN",2019,4,0
"NEW YORK CITY",2019,4,0
"EAST SOUTH CENTRAL",2019,4,0
"U.S. VIRGIN ISLANDS",2019,4,0
"ALABAMA",2019,4,0
"HAWAII",2019,4,0
"MOUNTAIN",2019,4,0
"UTAH",2019,4,0
"DISTRICT OF COLUMBIA",2019,4,0
"NEW YORK",2019,4,0
"LOUISIANA",2019,4,0
"NORTH DAKOTA",2019,4,0
"PACIFIC",2019,4,0
"MARYLAND",2019,4,1
"CALIFORNIA",2019,4,0
"COLORADO",2019,4,0
"NEVADA",2019,4,0
"KENTUCKY",2019,4,0
"MINNESOTA",2019,4,0
"KANSAS",2019,4,0
"MISSOURI",2019,4,0
"WEST NORTH CENTRAL",2019,4,0
"MASSACHUSETTS",2019,4,0
"NEW JERSEY",2019,4,0
"ALASKA",2019,4,0
"WEST VIRGINIA",2019,4,0
"VERMONT",2019,4,0
"NEW ENGLAND",2019,4,0
"RHODE ISLAND",2019,4,0
"PENNSYLVANIA",2019,4,0
"MISSISSIPPI",2019,4,0
"WASHINGTON",2019,4,0
"OREGON",2019,4,0
"CONNECTICUT",2019,4,0
"TENNESSEE",2019,4,0
"SOUTH CAROLINA",2019,4,0
"US RESIDENTS",2019,4,1
"SOUTH CAROLINA",2019,5,0
"NORTH DAKOTA",2019,5,0
"ALASKA",2019,5,0
"ALABAMA",2019,5,0
"TEXAS",2019,5,0
"RHODE ISLAND",2019,5,0
"ARKANSAS",2019,5,0
"NEW HAMPSHIRE",2019,5,0
"DISTRICT OF COLUMBIA",2019,5,0
"ARIZONA",2019,5,0
"US TERRITORIES",2019,5,1
"COLORADO",2019,5,0
"EAST SOUTH CENTRAL",2019,5,0
"NEW YORK",2019,5,0
"OHIO",2019,5,0
"NORTH CAROLINA",2019,5,0
"GEORGIA",2019,5,0
"MARYLAND",2019,5,0
"MASSACHUSETTS",2019,5,0
"MISSOURI",2019,5,0
"MISSISSIPPI",2019,5,0
"FLORIDA",2019,5,1
"NEVADA",2019,5,0
"CALIFORNIA",2019,5,0
"PENNSYLVANIA",2019,5,0
"NEW YORK CITY",2019,5,0
"PACIFIC",2019,5,0
"NEW ENGLAND",2019,5,0
"WYOMING",2019,5,0
"VIRGINIA",2019,5,0
"WEST SOUTH CENTRAL",2019,5,0
"ILLINOIS",2019,5,0
"AMERICAN SAMOA",2019,5,0
"OKLAHOMA",2019,5,0
"NEW JERSEY",2019,5,0
"SOUTH ATLANTIC",2019,5,1
"INDIANA",2019,5,0
"MICHIGAN",2019,5,0
"MIDDLE ATLANTIC",2019,5,0
"HAWAII",2019,5,0
"TOTAL",2019,5,2
"MINNESOTA",2019,5,0
"WISCONSIN",2019,5,0
"OREGON",2019,5,0
"WASHINGTON",2019,5,0
"MOUNTAIN",2019,5,0
"NON-US RESIDENTS",2019,5,0
"NORTHERN MARIANA ISLANDS",2019,5,0
"WEST VIRGINIA",2019,5,0
"SOUTH DAKOTA",2019,5,0
"US RESIDENTS",2019,5,1
"TENNESSEE",2019,5,0
"MAINE",2019,5,0
"MONTANA",2019,5,0
"IDAHO",2019,5,0
"GUAM",2019,5,0
"U.S. VIRGIN ISLANDS",2019,5,0
"EAST NORTH CENTRAL",2019,5,0
"IOWA",2019,5,0
"KANSAS",2019,5,0
"WEST NORTH CENTRAL",2019,5,0
"NEW MEXICO",2019,5,0
"LOUISIANA",2019,5,0
"DELAWARE",2019,5,0
"KENTUCKY",2019,5,0
"CONNECTICUT",2019,5,0
"PUERTO RICO",2019,5,1
"VERMONT",2019,5,0
"UTAH",2019,5,0
"NEBRASKA",2019,5,0
"VERMONT",2019,6,0
"TENNESSEE",2019,6,0
"FLORIDA",2019,6,0
"WYOMING",2019,6,0
"WEST VIRGINIA",2019,6,0
"WEST SOUTH CENTRAL",2019,6,0
"SOUTH CAROLINA",2019,6,0
"NEW JERSEY",2019,6,0
"EAST NORTH CENTRAL",2019,6,0
"OKLAHOMA",2019,6,0
"DISTRICT OF COLUMBIA",2019,6,0
"ALABAMA",2019,6,0
"TEXAS",2019,6,0
"NEW YORK",2019,6,0
"CALIFORNIA",2019,6,0
"NEVADA",2019,6,0
"NEW YORK CITY",2019,6,0
"GEORGIA",2019,6,0
"IDAHO",2019,6,0
"PUERTO RICO",2019,6,0
"NORTH DAKOTA",2019,6,0
"MAINE",2019,6,0
"US RESIDENTS",2019,6,0
"INDIANA",2019,6,0
"TOTAL",2019,6,0
"HAWAII",2019,6,0
"U.S. VIRGIN ISLANDS",2019,6,0
"ILLINOIS",2019,6,0
"LOUISIANA",2019,6,0
"WASHINGTON",2019,6,0
"CONNECTICUT",2019,6,0
"WEST NORTH CENTRAL",2019,6,0
"OHIO",2019,6,0
"MINNESOTA",2019,6,0
"MASSACHUSETTS",2019,6,0
"ARIZONA",2019,6,0
"NEW HAMPSHIRE",2019,6,0
"MONTANA",2019,6,0
"UTAH",2019,6,0
"GUAM",2019,6,0
"US TERRITORIES",2019,6,0
"NEBRASKA",2019,6,0
"PENNSYLVANIA",2019,6,0
"VIRGINIA",2019,6,0
"KENTUCKY",2019,6,0
"MARYLAND",2019,6,0
"NEW ENGLAND",2019,6,0
"NON-US RESIDENTS",2019,6,0
"NORTH CAROLINA",2019,6,0
"SOUTH DAKOTA",2019,6,0
"KANSAS",2019,6,0
"MISSISSIPPI",2019,6,0
"WISCONSIN",2019,6,0
"NEW MEXICO",2019,6,0
"DELAWARE",2019,6,0
"OREGON",2019,6,0
"MICHIGAN",2019,6,0
"NORTHERN MARIANA ISLANDS",2019,6,0
"MOUNTAIN",2019,6,0
"COLORADO",2019,6,0
"AMERICAN SAMOA",2019,6,0
"IOWA",2019,6,0
"RHODE ISLAND",2019,6,0
"ALASKA",2019,6,0
"SOUTH ATLANTIC",2019,6,0
"ARKANSAS",2019,6,0
"MIDDLE ATLANTIC",2019,6,0
"EAST SOUTH CENTRAL",2019,6,0
"PACIFIC",2019,6,0
"MISSOURI",2019,6,0
"TEXAS",2019,7,0
"US TERRITORIES",2019,7,0
"OREGON",2019,7,0
"DISTRICT OF COLUMBIA",2019,7,0
"COLORADO",2019,7,0
"WEST SOUTH CENTRAL",2019,7,0
"SOUTH DAKOTA",2019,7,0
"TENNESSEE",2019,7,0
"LOUISIANA",2019,7,0
"NEW HAMPSHIRE",2019,7,0
"ARIZONA",2019,7,0
"U.S. VIRGIN ISLANDS",2019,7,0
"NEBRASKA",2019,7,0
"SOUTH CAROLINA",2019,7,0
"MARYLAND",2019,7,0
"NORTH CAROLINA",2019,7,0
"US RESIDENTS",2019,7,0
"DELAWARE",2019,7,0
"MICHIGAN",2019,7,0
"CONNECTICUT",2019,7,0
"FLORIDA",2019,7,0
"MISSISSIPPI",2019,7,0
"MINNESOTA",2019,7,0
"ILLINOIS",2019,7,0
"SOUTH ATLANTIC",2019,7,0
"ALASKA",2019,7,0
"EAST NORTH CENTRAL",2019,7,0
"WASHINGTON",2019,7,0
"AMERICAN SAMOA",2019,7,0
"WISCONSIN",2019,7,0
"OHIO",2019,7,0
"NEW JERSEY",2019,7,0
"UTAH",2019,7,0
"GUAM",2019,7,0
"RHODE ISLAND",2019,7,0
"CALIFORNIA",2019,7,0
"IOWA",2019,7,0
"EAST SOUTH CENTRAL",2019,7,0
"IDAHO",2019,7,0
"NEW ENGLAND",2019,7,0
"NEW YORK",2019,7,0
"MOUNTAIN",2019,7,0
"MIDDLE ATLANTIC",2019,7,0
"MASSACHUSETTS",2019,7,0
"NORTHERN MARIANA ISLANDS",2019,7,0
"ALABAMA",2019,7,0
"PENNSYLVANIA",2019,7,0
"WEST NORTH CENTRAL",2019,7,0
"OKLAHOMA",2019,7,0
"MAINE",2019,7,0
"TOTAL",2019,7,0
"HAWAII",2019,7,0
"INDIANA",2019,7,0
"KANSAS",2019,7,0
"NON-US RESIDENTS",2019,7,0
"KENTUCKY",2019,7,0
"WEST VIRGINIA",2019,7,0
"MISSOURI",2019,7,0
"NEW MEXICO",2019,7,0
"VERMONT",2019,7,0
"MONTANA",2019,7,0
"VIRGINIA",2019,7,0
"PACIFIC",2019,7,0
"WYOMING",2019,7,0
"NEW YORK CITY",2019,7,0
"ARKANSAS",2019,7,0
"PUERTO RICO",2019,7,0
"NEVADA",2019,7,0
"GEORGIA",2019,7,0
"NORTH DAKOTA",2019,7,0
"COLORADO",2019,8,0
"MARYLAND",2019,8,0
"US RESIDENTS",2019,8,0
"NEBRASKA",2019,8,0
"WASHINGTON",2019,8,0
"NEW YORK",2019,8,0
"U.S. VIRGIN ISLANDS",2019,8,0
"ILLINOIS",2019,8,0
"NEW JERSEY",2019,8,0
"MIDDLE ATLANTIC",2019,8,0
"CALIFORNIA",2019,8,0
"MISSOURI",2019,8,0
"KENTUCKY",2019,8,0
"AMERICAN SAMOA",2019,8,0
"DELAWARE",2019,8,0
"MINNESOTA",2019,8,0
"SOUTH DAKOTA",2019,8,0
"NON-US RESIDENTS",2019,8,0
"WYOMING",2019,8,0
"NEW HAMPSHIRE",2019,8,0
"PENNSYLVANIA",2019,8,0
"MOUNTAIN",2019,8,0
"WISCONSIN",2019,8,0
"DISTRICT OF COLUMBIA",2019,8,0
"TENNESSEE",2019,8,0
"TEXAS",2019,8,0
"NEW ENGLAND",2019,8,0
"KANSAS",2019,8,0
"SOUTH CAROLINA",2019,8,0
"ALABAMA",2019,8,0
"OHIO",2019,8,0
"US TERRITORIES",2019,8,0
"UTAH",2019,8,0
"RHODE ISLAND",2019,8,0
"FLORIDA",2019,8,0
"HAWAII",2019,8,0
"MONTANA",2019,8,0
"GEORGIA",2019,8,0
"IDAHO",2019,8,0
"CONNECTICUT",2019,8,0
"EAST NORTH CENTRAL",2019,8,0
"NORTHERN MARIANA ISLANDS",2019,8,0
"ARKANSAS",2019,8,0
"NORTH CAROLINA",2019,8,0
"SOUTH ATLANTIC",2019,8,0
"MISSISSIPPI",2019,8,0
"NEW YORK CITY",2019,8,0
"PUERTO RICO",2019,8,0
