Disease,MMWR year,MMWR week,Current week
Anthrax,2018,1,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,1,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,1,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,1,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,1,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,1,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,1,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,1,
"Botulism, total",2018,1,
"Botulism, foodborne",2018,1,
"Botulism, infant",2018,1,
"Botulism, other (wound and unspecified)",2018,1,
Brucellosis,2018,1,
Chancroid,2018,1,
Cholera,2018,1,
Cyclosporiasis¶,2018,1,
Diphtheria,2018,1,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,1,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,1,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,1,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,1,3
Hansen's disease¶,2018,1,1
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,1,
Hantavirus pulmonary syndrome¶ ,2018,1,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,1,
"Hepatitis B, perinatal infection",2018,1,
"Influenza-associated pediatric mortality¶,**",2018,1,7
Leptospirosis¶,2018,1,
Listeriosis,2018,1,2
Measles††,2018,1,
"Meningococcal disease, Serogroups ACWY",2018,1,
"Meningococcal disease, Serogroup B",2018,1,1
"Meningococcal disease, Other serogroups",2018,1,
"Meningococcal disease, Unknown serogroup",2018,1,2
Novel Influenza A virus infections§§,2018,1,
Paratyphoid fever¶¶,2018,1,
Plague,2018,1,
"Poliomyelitis, paralytic",2018,1,
"Polio virus Infection, nonparalytic¶",2018,1,
Psittacosis¶,2018,1,
"Q fever¶, total",2018,1,
