month,year,Reporting.Area,average_temp
1,2014,ALABAMA,42.6
1,2014,ARIZONA,44
1,2014,ARKANSAS,37.6
1,2014,CALIFORNIA,47.1
1,2014,COLORADO,25
1,2014,CONNECTICUT,27.3
1,2014,DELAWARE,35.2
1,2014,FLORIDA,59.6
1,2014,GEORGIA,45.6
1,2014,IDAHO,24.4
1,2014,ILLINOIS,22.8
1,2014,INDIANA,24.4
1,2014,IOWA,15.8
1,2014,KANSAS,29.4
1,2014,KENTUCKY,32.1
1,2014,LOUISIANA,46.5
1,2014,MAINE,15.6
1,2014,MARYLAND,33.2
1,2014,MASSACHUSETTS,26.2
1,2014,MICHIGAN,15.8
1,2014,MINNESOTA,3.6
1,2014,MISSISSIPPI,42.6
1,2014,MISSOURI,28
1,2014,MONTANA,20.4
1,2014,NEBRASKA,24.1
1,2014,NEVADA,32.8
1,2014,NEW HAMPSHIRE,19.4
1,2014,NEW JERSEY,31
1,2014,NEW MEXICO,35.4
1,2014,NEW YORK,21.2
1,2014,NORTH CAROLINA,40.4
1,2014,NORTH DAKOTA,6.8
1,2014,OHIO,25.9
1,2014,OKLAHOMA,35.6
1,2014,OREGON,33.2
1,2014,PENNSYLVANIA,25.2
1,2014,RHODE ISLAND,29.6
1,2014,SOUTH CAROLINA,44.8
1,2014,SOUTH DAKOTA,15.9
1,2014,TENNESSEE,35.2
1,2014,TEXAS,44.6
1,2014,UTAH,26.8
1,2014,VERMONT,18
1,2014,VIRGINIA,34.8
1,2014,WASHINGTON,31.2
1,2014,WEST VIRGINIA,29.8
1,2014,WISCONSIN,9
1,2014,WYOMING,20.7
2,2014,ALABAMA,42.3
2,2014,ARIZONA,48.2
2,2014,ARKANSAS,37
2,2014,CALIFORNIA,50
2,2014,COLORADO,27
2,2014,CONNECTICUT,24.3
2,2014,DELAWARE,32
2,2014,FLORIDA,58.6
2,2014,GEORGIA,44.9
2,2014,IDAHO,27.8
2,2014,ILLINOIS,19.4
2,2014,INDIANA,20.7
2,2014,IOWA,13.7
2,2014,KANSAS,28.7
2,2014,KENTUCKY,30
2,2014,LOUISIANA,46.8
2,2014,MAINE,15
2,2014,MARYLAND,30.3
2,2014,MASSACHUSETTS,23.6
2,2014,MICHIGAN,12.5
2,2014,MINNESOTA,3
2,2014,MISSISSIPPI,42.4
2,2014,MISSOURI,26.2
